osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1335191,170,91263,"El Encanto",AMA,,665774,el.encanto,CO-AMA-ElEncanto,,"{""area_sr"": 0.87042, ""area_km2"": 10708, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 103.5, ""side_estim_deg"": 0.933, ""elongation_factor"": 3.03, ""shares_border_with"": [""CO-AMA-LaChorrera"", ""CO-AMA-PuertoAlegria"", ""CO-AMA-PuertoArica"", ""PE-LOR-Putumayo""]}"
1335172,170,91405,"La Chorrera",AMA,,1654959,la.chorrera,CO-AMA-LaChorrera,,"{""area_sr"": 1.03384, ""area_km2"": 12723, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 112.8, ""side_estim_deg"": 1.0168, ""elongation_factor"": 3.25, ""shares_border_with"": [""CO-AMA-ElEncanto"", ""CO-AMA-PuertoAlegria"", ""CO-AMA-PuertoArica"", ""CO-AMA-PuertoSantander"", ""CO-CAQ-Solano""]}"
3718640,170,91407,"La Pedrera",AMA,,2423679,la.pedrera,CO-AMA-LaPedrera,,"{""area_sr"": 1.10619, ""area_km2"": 13612, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 116.7, ""side_estim_deg"": 1.0518, ""elongation_factor"": 2.42, ""shares_border_with"": [""BR-AM-Japura"", ""CO-AMA-MiritiParana"", ""CO-AMA-PuertoArica"", ""CO-AMA-Tarapaca"", ""CO-VAU-Pacoa"", ""CO-VAU-Taraira""]}"
1335182,170,91430,"La Victoria",AMA,,1821133,la.victoria,CO-AMA-LaVictoria,,"{""area_sr"": 0.12235, ""area_km2"": 1506, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 38.8, ""side_estim_deg"": 0.3498, ""elongation_factor"": 2.58, ""shares_border_with"": [""CO-AMA-MiritiParana"", ""CO-CAQ-Solano"", ""CO-VAU-Pacoa""]}"
1335174,170,91001,Leticia,AMA,,214913,leticia,CO-AMA-Leticia,,"{""area_sr"": 0.49823, ""area_km2"": 6121, ""boundary"": ""administrative"", ""objectid"": 3579, ""DANE:area"": 5829.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""CAP. DEPTO"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 78.2, ""side_estim_deg"": 0.7059, ""DANE:departamento"": 91, ""elongation_factor"": 1.78, ""shares_border_with"": [""BR-AM-SantoAntonioIca"", ""BR-AM-Tabatinga"", ""CO-AMA-PuertoNarino"", ""CO-AMA-Tarapaca"", ""PE-LOR-MariscalRamonCastilla""], ""sys_housenumbering"": ""street-metric""}"
1335187,170,91460,Mirití-Paraná,AMA,,1654918,miriti.parana,CO-AMA-MiritiParana,,"{""area_sr"": 1.37158, ""area_km2"": 16881, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 129.9, ""side_estim_deg"": 1.1711, ""elongation_factor"": 1.68, ""shares_border_with"": [""CO-AMA-LaPedrera"", ""CO-AMA-LaVictoria"", ""CO-AMA-PuertoArica"", ""CO-AMA-PuertoSantander"", ""CO-CAQ-Solano"", ""CO-VAU-Pacoa""]}"
1335170,170,91530,"Puerto Alegría",AMA,,1654802,puerto.alegria,CO-AMA-PuertoAlegria,,"{""area_sr"": 0.68336, ""area_km2"": 8410, ""boundary"": ""administrative"", ""objectid"": 3575, ""DANE:area"": 8394.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Corregimiento Departamental"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 91.7, ""side_estim_deg"": 0.8267, ""DANE:departamento"": 91, ""elongation_factor"": 2.06, ""shares_border_with"": [""CO-AMA-ElEncanto"", ""CO-AMA-LaChorrera"", ""CO-PUT-PuertoLeguizamo"", ""PE-LOR-Putumayo""], ""sys_housenumbering"": ""street-metric""}"
1335190,170,91536,"Puerto Arica",AMA,,2243950,puerto.arica,CO-AMA-PuertoArica,,"{""area_sr"": 1.10736, ""area_km2"": 13623, ""boundary"": ""administrative"", ""objectid"": 3577, ""DANE:area"": 13350.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Corregimiento Departamental"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 116.7, ""side_estim_deg"": 1.0523, ""DANE:departamento"": 91, ""elongation_factor"": 2.77, ""shares_border_with"": [""CO-AMA-ElEncanto"", ""CO-AMA-LaChorrera"", ""CO-AMA-LaPedrera"", ""CO-AMA-MiritiParana"", ""CO-AMA-PuertoSantander"", ""CO-AMA-Tarapaca"", ""PE-LOR-Putumayo""], ""sys_housenumbering"": ""street-metric""}"
1335169,170,91540,"Puerto Nariño",AMA,,,puerto.narino,CO-AMA-PuertoNarino,,"{""area_sr"": 0.12185, ""area_km2"": 1497, ""boundary"": ""administrative"", ""objectid"": 3580, ""DANE:area"": 1475.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Amazonas"", ""side_estim_km"": 38.7, ""side_estim_deg"": 0.3491, ""DANE:departamento"": 91, ""elongation_factor"": 2.06, ""shares_border_with"": [""CO-AMA-Leticia"", ""PE-LOR-MariscalRamonCastilla"", ""PE-LOR-Putumayo""], ""sys_housenumbering"": ""street-metric""}"
1335167,170,91669,"Puerto Santander",AMA,,2433464,puerto.santander,CO-AMA-PuertoSantander,,"{""area_sr"": 1.19542, ""area_km2"": 14712, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 121.3, ""side_estim_deg"": 1.0934, ""elongation_factor"": 3.47, ""shares_border_with"": [""CO-AMA-LaChorrera"", ""CO-AMA-MiritiParana"", ""CO-AMA-PuertoArica"", ""CO-CAQ-Solano""]}"
