osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1341518,170,8078,Baranoa,ATL,,979097,baranoa,CO-ATL-Baranoa,,"{""area_sr"": 0.01021, ""area_km2"": 124, ""boundary"": ""administrative"", ""objectid"": 4228, ""DANE:area"": 127.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 11.1, ""side_estim_deg"": 0.1011, ""DANE:departamento"": 8, ""elongation_factor"": 2.22, ""shares_border_with"": [""CO-ATL-Galapa"", ""CO-ATL-JuanAcosta"", ""CO-ATL-Malambo"", ""CO-ATL-Polonuevo"", ""CO-ATL-Sabanalarga"", ""CO-ATL-Tubara"", ""CO-ATL-Usiacuri""], ""sys_housenumbering"": ""street-metric""}"
1335179,170,8001,Barranquilla,ATL,,,barranquilla,CO-ATL-Barranquilla,,"{""area_sr"": 0.01217, ""area_km2"": 147, ""boundary"": ""administrative"", ""objectid"": 3569, ""DANE:area"": 166.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""CAP. DEPTO Distrito Especial, Industrial y Portuario"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1103, ""DANE:departamento"": 8, ""elongation_factor"": 3.13, ""shares_border_with"": [""CO-ATL-Galapa"", ""CO-ATL-PuertoColombia"", ""CO-ATL-Soledad"", ""CO-ATL-Tubara"", ""CO-MAG-Sitionuevo""], ""sys_housenumbering"": ""street-metric""}"
1342330,170,8137,"Campo de la Cruz",ATL,,2279534,campo.la.cruz,CO-ATL-CampoLaCruz,,"{""area_sr"": 0.0094, ""area_km2"": 114, ""boundary"": ""administrative"", ""objectid"": 4234, ""DANE:area"": 105.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 10.7, ""side_estim_deg"": 0.0969, ""DANE:departamento"": 8, ""elongation_factor"": 2.23, ""shares_border_with"": [""CO-ATL-Candelaria"", ""CO-ATL-Manati"", ""CO-ATL-Ponedera"", ""CO-ATL-SantaLucia"", ""CO-ATL-Suan"", ""CO-MAG-CerroSanAntonio"", ""CO-MAG-ElPinon"", ""CO-MAG-Salamina""], ""sys_housenumbering"": ""street-metric""}"
1341514,170,8141,Candelaria,ATL,,,candelaria,CO-ATL-Candelaria,,"{""area_sr"": 0.01098, ""area_km2"": 133, ""boundary"": ""administrative"", ""objectid"": 4232, ""DANE:area"": 143.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1048, ""DANE:departamento"": 8, ""elongation_factor"": 1.47, ""shares_border_with"": [""CO-ATL-CampoLaCruz"", ""CO-ATL-Manati"", ""CO-ATL-Ponedera"", ""CO-ATL-Sabanalarga""], ""sys_housenumbering"": ""street-metric""}"
1341561,170,8296,Galapa,ATL,,,galapa,CO-ATL-Galapa,,"{""area_sr"": 0.00792, ""area_km2"": 96, ""boundary"": ""administrative"", ""objectid"": 4225, ""DANE:area"": 98.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 9.8, ""side_estim_deg"": 0.089, ""DANE:departamento"": 8, ""elongation_factor"": 1.33, ""shares_border_with"": [""CO-ATL-Baranoa"", ""CO-ATL-Barranquilla"", ""CO-ATL-Malambo"", ""CO-ATL-Soledad"", ""CO-ATL-Tubara""], ""sys_housenumbering"": ""street-metric""}"
1335189,170,8372,"Juan de Acosta",ATL,,,juan.acosta,CO-ATL-JuanAcosta,,"{""area_sr"": 0.01395, ""area_km2"": 169, ""boundary"": ""administrative"", ""objectid"": 3567, ""DANE:area"": 176.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 13, ""side_estim_deg"": 0.1181, ""DANE:departamento"": 8, ""elongation_factor"": 2.23, ""shares_border_with"": [""CO-ATL-Baranoa"", ""CO-ATL-Piojo"", ""CO-ATL-Tubara"", ""CO-ATL-Usiacuri""], ""sys_housenumbering"": ""street-metric""}"
1342479,170,8421,Luruaco,ATL,,,luruaco,CO-ATL-Luruaco,,"{""area_sr"": 0.02004, ""area_km2"": 243, ""boundary"": ""administrative"", ""objectid"": 4237, ""DANE:area"": 247.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 15.6, ""side_estim_deg"": 0.1416, ""DANE:departamento"": 8, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-ATL-Piojo"", ""CO-ATL-Repelon"", ""CO-ATL-Sabanalarga"", ""CO-BOL-SantaCatalina""], ""sys_housenumbering"": ""street-metric""}"
1341567,170,8433,Malambo,ATL,,,malambo,CO-ATL-Malambo,,"{""area_sr"": 0.00829, ""area_km2"": 100, ""boundary"": ""administrative"", ""objectid"": 4227, ""DANE:area"": 108.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 10, ""side_estim_deg"": 0.091, ""DANE:departamento"": 8, ""elongation_factor"": 1.75, ""shares_border_with"": [""CO-ATL-Baranoa"", ""CO-ATL-Galapa"", ""CO-ATL-Polonuevo"", ""CO-ATL-Sabanagrande"", ""CO-ATL-Soledad"", ""CO-MAG-Sitionuevo""], ""sys_housenumbering"": ""street-metric""}"
1342458,170,8436,Manatí,ATL,,2432352,manati,CO-ATL-Manati,,"{""area_sr"": 0.01758, ""area_km2"": 213, ""boundary"": ""administrative"", ""objectid"": 4233, ""DANE:area"": 296.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Manatí (Atlántico)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""wikipedia:en"": ""Manatí, Atlántico"", ""side_estim_km"": 14.6, ""side_estim_deg"": 0.1326, ""DANE:departamento"": 8, ""elongation_factor"": 1.62, ""shares_border_with"": [""CO-ATL-CampoLaCruz"", ""CO-ATL-Candelaria"", ""CO-ATL-Repelon"", ""CO-ATL-Sabanalarga"", ""CO-ATL-SantaLucia"", ""CO-BOL-SanCristobal""], ""sys_housenumbering"": ""street-metric""}"
1335166,170,8520,"Palmar de Varela",ATL,,,palmar.varela,CO-ATL-PalmarVarela,,"{""area_sr"": 0.00715, ""area_km2"": 87, ""boundary"": ""administrative"", ""objectid"": 3571, ""DANE:area"": 94.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Atlántico"", ""side_estim_km"": 9.3, ""side_estim_deg"": 0.0846, ""DANE:departamento"": 8, ""elongation_factor"": 1.17, ""shares_border_with"": [""CO-ATL-Ponedera"", ""CO-ATL-SantoTomas"", ""CO-MAG-Remolino"", ""CO-MAG-Sitionuevo""], ""sys_housenumbering"": ""street-metric""}"
