osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1335177,170,13006,Achí,BOL,,,achi,CO-BOL-Achi,,"{""area_sr"": 0.07947, ""area_km2"": 967, ""boundary"": ""administrative"", ""objectid"": 3563, ""DANE:area"": 1025.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""side_estim_km"": 31.1, ""side_estim_deg"": 0.2819, ""DANE:departamento"": 13, ""elongation_factor"": 2.05, ""shares_border_with"": [""CO-BOL-Magangue"", ""CO-BOL-Montecristo"", ""CO-BOL-Pinillos"", ""CO-BOL-SanJacintoCauca"", ""CO-BOL-Tiquisio"", ""CO-SUC-Guaranda"", ""CO-SUC-Majagual"", ""CO-SUC-Sucre""], ""sys_housenumbering"": ""street-metric""}"
1335173,170,13030,"Altos del Rosario",BOL,,,altos.rosario,CO-BOL-AltosRosario,,"{""area_sr"": 0.02514, ""area_km2"": 306, ""boundary"": ""administrative"", ""objectid"": 3564, ""DANE:area"": 304.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""side_estim_km"": 17.5, ""side_estim_deg"": 0.1586, ""DANE:departamento"": 13, ""elongation_factor"": 2.05, ""shares_border_with"": [""CO-BOL-BarrancoLoba"", ""CO-BOL-Pinillos"", ""CO-BOL-Tiquisio""], ""sys_housenumbering"": ""street-metric""}"
1326220,170,13042,Arenal,BOL,,641599,arenal,CO-BOL-Arenal,,"{""area_sr"": 0.03769, ""alt_name"": ""Arenal del Sur"", ""area_km2"": 459, ""boundary"": ""administrative"", ""objectid"": 4216, ""DANE:area"": 459.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Arenal del Sur"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""wikipedia:en"": ""Arenal_del_Sur"", ""side_estim_km"": 21.4, ""side_estim_deg"": 0.1941, ""alt_name:source"": ""es.wikipedia"", ""DANE:departamento"": 13, ""elongation_factor"": 2.94, ""shares_border_with"": [""CO-BOL-Montecristo"", ""CO-BOL-Morales"", ""CO-BOL-RioViejo""], ""sys_housenumbering"": ""street-metric""}"
1448415,170,13052,Arjona,BOL,,671427,arjona,CO-BOL-Arjona,,"{""area_sr"": 0.04886, ""area_km2"": 592, ""boundary"": ""administrative"", ""objectid"": 4198, ""DANE:area"": 566.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Arjona (Colombia)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""side_estim_km"": 24.3, ""side_estim_deg"": 0.221, ""DANE:departamento"": 13, ""elongation_factor"": 1.95, ""shares_border_with"": [""CO-BOL-Mahates"", ""CO-BOL-MariaBaja"", ""CO-BOL-SanEstanislao"", ""CO-BOL-Turbaco"", ""CO-BOL-Turbana"", ""CO-SUC-SanOnofre""], ""sys_housenumbering"": ""street-metric""}"
1341506,170,13062,Arroyohondo,BOL,,513501,arroyohondo,CO-BOL-Arroyohondo,,"{""area_sr"": 0.01404, ""name:en"": ""Arroyo Hondo"", ""area_km2"": 170, ""boundary"": ""administrative"", ""objectid"": 4222, ""DANE:area"": 162.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Arroyohondo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""wikipedia:en"": ""Arroyo_Hondo,_Bolívar"", ""side_estim_km"": 13, ""name:source:en"": ""en.wikipedia"", ""side_estim_deg"": 0.1185, ""DANE:departamento"": 13, ""elongation_factor"": 1.92, ""shares_border_with"": [""CO-BOL-Calamar"", ""CO-BOL-Mahates""], ""sys_housenumbering"": ""street-metric""}"
1343465,170,13074,"Barranco de Loba",BOL,,,barranco.loba,CO-BOL-BarrancoLoba,,"{""_ID"": -333086, ""area_sr"": 0.03535, ""area_km2"": 430, ""boundary"": ""administrative"", ""objectid"": 3558, ""DANE:area"": 416.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""side_estim_km"": 20.7, ""side_estim_deg"": 0.188, ""elongation_factor"": 2.99, ""shares_border_with"": [""CO-BOL-AltosRosario"", ""CO-BOL-HatilloLoba"", ""CO-BOL-Pinillos"", ""CO-BOL-SanMartinLoba"", ""CO-BOL-Tiquisio""], ""sys_housenumbering"": ""street-metric""}"
1341497,170,13140,Calamar,BOL,,476071,calamar,CO-BOL-Calamar,,"{""area_sr"": 0.02161, ""area_km2"": 262, ""boundary"": ""administrative"", ""objectid"": 4223, ""DANE:area"": 246.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Calamar (Bolívar)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""wikipedia:en"": ""Calamar,_Bolívar"", ""side_estim_km"": 16.2, ""side_estim_deg"": 0.147, ""DANE:departamento"": 13, ""elongation_factor"": 2.89, ""shares_border_with"": [""CO-ATL-SantaLucia"", ""CO-ATL-Suan"", ""CO-BOL-Arroyohondo"", ""CO-BOL-ElGuamo"", ""CO-BOL-Mahates"", ""CO-BOL-SanCristobal"", ""CO-BOL-SanJuanNepomuceno"", ""CO-BOL-Soplaviento"", ""CO-MAG-CerroSanAntonio"", ""CO-MAG-Pedraza""], ""sys_housenumbering"": ""street-metric""}"
1335188,170,13160,Cantagallo,BOL,,1576351,cantagallo,CO-BOL-Cantagallo,,"{""area_sr"": 0.07275, ""area_km2"": 889, ""boundary"": ""administrative"", ""objectid"": 3562, ""DANE:area"": 870.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cantagallo (Colombia)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""side_estim_km"": 29.8, ""side_estim_deg"": 0.2697, ""DANE:departamento"": 13, ""elongation_factor"": 2.1, ""shares_border_with"": [""CO-ANT-Remedios"", ""CO-ANT-Yondo"", ""CO-BOL-SanPablo"", ""CO-SAN-PuertoWilches""], ""sys_housenumbering"": ""street-metric""}"
1343457,170,13001,"Cartagena de Indias",BOL,,657461,cartagena.indias,CO-BOL-CartagenaIndias,,"{""_ID"": -327028, ""area_sr"": 0.05047, ""area_km2"": 611, ""boundary"": ""administrative"", ""objectid"": 3555, ""DANE:area"": 559.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Cartagena de Indias"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""side_estim_km"": 24.7, ""side_estim_deg"": 0.2246, ""elongation_factor"": 7.44, ""shares_border_with"": [""CO-BOL-Clemencia"", ""CO-BOL-SantaCatalina"", ""CO-BOL-SantaRosaLima"", ""CO-BOL-Turbaco"", ""CO-BOL-Turbana"", ""CO-SUC-SanOnofre""], ""sys_housenumbering"": ""street-metric""}"
1326225,170,13188,Cicuco,BOL,,1579035,cicuco,CO-BOL-Cicuco,,"{""area_sr"": 0.01079, ""area_km2"": 131, ""boundary"": ""administrative"", ""objectid"": 4209, ""DANE:area"": 132.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Cicuco"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Bolívar"", ""wikipedia:en"": ""Cicuco"", ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1039, ""DANE:departamento"": 13, ""elongation_factor"": 1.55, ""shares_border_with"": [""CO-BOL-Magangue"", ""CO-BOL-SantaCruzMompox"", ""CO-BOL-TalaiguaNuevo""], ""sys_housenumbering"": ""street-metric""}"
