osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1353242,170,15022,Almeida,BOY,,1656170,almeida,CO-BOY-Almeida,,"{""area_sr"": 0.00465, ""area_km2"": 57, ""boundary"": ""administrative"", ""objectid"": 4342, ""DANE:area"": 57.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Almeida (Boyacá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 7.6, ""side_estim_deg"": 0.0682, ""DANE:departamento"": 15, ""elongation_factor"": 1.72, ""shares_border_with"": [""CO-BOY-Chivor"", ""CO-BOY-Garagoa"", ""CO-BOY-Guayata"", ""CO-BOY-Macanal"", ""CO-BOY-Somondoco""], ""sys_housenumbering"": ""street-metric""}"
1315393,170,15047,Aquitania,BOY,,1526099,aquitania,CO-BOY-Aquitania,,"{""area_sr"": 0.07147, ""area_km2"": 876, ""boundary"": ""administrative"", ""objectid"": 3763, ""DANE:area"": 876.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aquitania (Boyacá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 29.6, ""side_estim_deg"": 0.2673, ""DANE:departamento"": 15, ""elongation_factor"": 2.08, ""shares_border_with"": [""CO-BOY-Cuitiva"", ""CO-BOY-Labranzagrande"", ""CO-BOY-Mongua"", ""CO-BOY-Paez"", ""CO-BOY-Pajarito"", ""CO-BOY-SanEduardo"", ""CO-BOY-Sogamoso"", ""CO-BOY-Tota"", ""CO-BOY-Zetaquira"", ""CO-CAS-Chameza"", ""CO-CAS-Recetor""], ""sys_housenumbering"": ""street-metric""}"
1306573,170,15051,Arcabuco,BOY,,1654728,arcabuco,CO-BOY-Arcabuco,,"{""area_sr"": 0.01115, ""area_km2"": 137, ""boundary"": ""administrative"", ""objectid"": 3807, ""DANE:area"": 137.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Arcabuco"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 11.7, ""side_estim_deg"": 0.1056, ""DANE:departamento"": 15, ""elongation_factor"": 2.45, ""shares_border_with"": [""CO-BOY-Chiquiza"", ""CO-BOY-Combita"", ""CO-BOY-Gachantiva"", ""CO-BOY-Moniquira"", ""CO-BOY-Motavita"", ""CO-BOY-VillaLeyva"", ""CO-SAN-Gambita""], ""sys_housenumbering"": ""street-metric""}"
1308648,170,15087,Belén,BOY,,1575687,belen,CO-BOY-Belen,,"{""area_sr"": 0.01309, ""area_km2"": 160, ""boundary"": ""administrative"", ""objectid"": 3773, ""DANE:area"": 143.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Belén (Boyacá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 12.7, ""side_estim_deg"": 0.1144, ""DANE:departamento"": 15, ""elongation_factor"": 1.82, ""shares_border_with"": [""CO-BOY-Beteitiva"", ""CO-BOY-Cerinza"", ""CO-BOY-PazRio"", ""CO-BOY-Tutaza"", ""CO-SAN-Encino""], ""sys_housenumbering"": ""street-metric""}"
1315421,170,15090,Berbeo,BOY,,1656286,berbeo,CO-BOY-Berbeo,,"{""area_sr"": 0.00506, ""area_km2"": 62, ""boundary"": ""administrative"", ""objectid"": 3782, ""DANE:area"": 67.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Berbeo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 7.9, ""side_estim_deg"": 0.0711, ""DANE:departamento"": 15, ""elongation_factor"": 2.42, ""shares_border_with"": [""CO-BOY-Miraflores"", ""CO-BOY-Paez"", ""CO-BOY-SanEduardo"", ""CO-BOY-Zetaquira""], ""sys_housenumbering"": ""street-metric""}"
1308646,170,15092,Betéitiva,BOY,,1654814,beteitiva,CO-BOY-Beteitiva,,"{""area_sr"": 0.0083, ""area_km2"": 102, ""boundary"": ""administrative"", ""objectid"": 3772, ""DANE:area"": 124.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Betéitiva"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 10.1, ""side_estim_deg"": 0.0911, ""DANE:departamento"": 15, ""elongation_factor"": 1.72, ""shares_border_with"": [""CO-BOY-Belen"", ""CO-BOY-Busbanza"", ""CO-BOY-Cerinza"", ""CO-BOY-Corrales"", ""CO-BOY-Floresta"", ""CO-BOY-PazRio"", ""CO-BOY-Tasco""], ""sys_housenumbering"": ""street-metric""}"
1315437,170,15097,Boavita,BOY,,1576227,boavita,CO-BOY-Boavita,,"{""area_sr"": 0.01201, ""area_km2"": 147, ""boundary"": ""administrative"", ""objectid"": 3751, ""DANE:area"": 146.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Boavita"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1096, ""DANE:departamento"": 15, ""elongation_factor"": 1.94, ""shares_border_with"": [""CO-BOY-LaUvita"", ""CO-BOY-SanMateo"", ""CO-BOY-Soata"", ""CO-BOY-Susacon"", ""CO-BOY-Tipacoque"", ""CO-SAN-Capitanejo"", ""CO-SAN-Macaravita""], ""sys_housenumbering"": ""street-metric""}"
1345031,170,15104,Boyacá,BOY,,1654749,boyaca,CO-BOY-Boyaca,,"{""area_sr"": 0.00382, ""area_km2"": 47, ""boundary"": ""administrative"", ""objectid"": 4474, ""DANE:area"": 48.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Boyacá (Boyacá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""wikipedia:en"": ""Boyacá,_Boyacá"", ""side_estim_km"": 6.8, ""side_estim_deg"": 0.0618, ""DANE:departamento"": 15, ""elongation_factor"": 1.88, ""shares_border_with"": [""CO-BOY-Jenesano"", ""CO-BOY-NuevoColon"", ""CO-BOY-Ramiriqui"", ""CO-BOY-Soraca"", ""CO-BOY-Tunja"", ""CO-BOY-Ventaquemada""], ""sys_housenumbering"": ""street-metric""}"
1306571,170,15106,Briceño,BOY,,2430372,briceno,CO-BOY-Briceno,,"{""area_sr"": 0.00435, ""area_km2"": 53, ""boundary"": ""administrative"", ""objectid"": 3813, ""DANE:area"": 49.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Briceño (Boyacá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 7.3, ""side_estim_deg"": 0.066, ""DANE:departamento"": 15, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-BOY-Caldas"", ""CO-BOY-Chiquinquira"", ""CO-BOY-Pauna"", ""CO-BOY-Saboya"", ""CO-BOY-Tunungua"", ""CO-SAN-Albania""], ""sys_housenumbering"": ""street-metric""}"
1422329,170,15109,Buenavista,BOY,,1879585,buenavista,CO-BOY-Buenavista,,"{""area_sr"": 0.00911, ""area_km2"": 112, ""boundary"": ""administrative"", ""objectid"": 3816, ""DANE:area"": 111.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Buenavista (Boyacá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Boyacá"", ""side_estim_km"": 10.6, ""side_estim_deg"": 0.0954, ""DANE:departamento"": 15, ""elongation_factor"": 1.44, ""shares_border_with"": [""CO-BOY-Caldas"", ""CO-BOY-Coper"", ""CO-CUN-CarmenCarupa"", ""CO-CUN-Simijaca""], ""sys_housenumbering"": ""street-metric""}"
