osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
410730,170,17013,Aguadas,CAL,,1442012,aguadas,CO-CAL-Aguadas,,"{""area_sr"": 0.03878, ""area_km2"": 475, ""boundary"": ""administrative"", ""objectid"": 4078, ""DANE:area"": 510.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aguadas"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 21.8, ""side_estim_deg"": 0.1969, ""DANE:departamento"": 17, ""elongation_factor"": 2.53, ""shares_border_with"": [""CO-ANT-Abejorral"", ""CO-ANT-Caramanta"", ""CO-ANT-LaPintada"", ""CO-ANT-SantaBarbara"", ""CO-ANT-Sonson"", ""CO-ANT-Valparaiso"", ""CO-CAL-Pacora"", ""CO-CAL-Pensilvania"", ""CO-CAL-Salamina""], ""sys_housenumbering"": ""street-metric""}"
408547,170,17042,Anserma,CAL,,547678,anserma,CO-CAL-Anserma,,"{""area_sr"": 0.01707, ""area_km2"": 209, ""boundary"": ""administrative"", ""objectid"": 4072, ""DANE:area"": 228.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Anserma"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 14.5, ""side_estim_deg"": 0.1307, ""DANE:departamento"": 17, ""elongation_factor"": 2.34, ""shares_border_with"": [""CO-CAL-Manizales"", ""CO-CAL-Neira"", ""CO-CAL-Palestina"", ""CO-CAL-Risaralda"", ""CO-CAL-Viterbo"", ""CO-RIS-BelenUmbria"", ""CO-RIS-Guatica"", ""CO-RIS-Quinchia""], ""sys_housenumbering"": ""street-metric""}"
410728,170,17050,Aranzazu,CAL,,1525243,aranzazu,CO-CAL-Aranzazu,,"{""area_sr"": 0.01186, ""area_km2"": 145, ""boundary"": ""administrative"", ""objectid"": 4082, ""DANE:area"": 157.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aranzazu"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 12.1, ""side_estim_deg"": 0.1089, ""DANE:departamento"": 17, ""elongation_factor"": 2.34, ""shares_border_with"": [""CO-CAL-Filadelfia"", ""CO-CAL-LaMerced"", ""CO-CAL-Neira"", ""CO-CAL-Salamina""], ""sys_housenumbering"": ""street-metric""}"
408545,170,17088,Belalcázar,CAL,,1525292,belalcazar,CO-CAL-Belalcazar,,"{""area_sr"": 0.00934, ""area_km2"": 115, ""boundary"": ""administrative"", ""objectid"": 4401, ""DANE:area"": 121.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Belalcázar (Caldas)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 10.7, ""side_estim_deg"": 0.0966, ""DANE:departamento"": 17, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-CAL-Chinchina"", ""CO-CAL-Risaralda"", ""CO-CAL-SanJose"", ""CO-CAL-Viterbo"", ""CO-RIS-LaVirginia"", ""CO-RIS-Marsella"", ""CO-RIS-Santuario""], ""sys_housenumbering"": ""street-metric""}"
408116,170,17174,Chinchiná,CAL,,1073678,chinchina,CO-CAL-Chinchina,,"{""area_sr"": 0.00888, ""area_km2"": 109, ""boundary"": ""administrative"", ""objectid"": 4406, ""DANE:area"": 114.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Chinchiná"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 10.4, ""side_estim_deg"": 0.0942, ""DANE:departamento"": 17, ""elongation_factor"": 3.08, ""shares_border_with"": [""CO-CAL-Belalcazar"", ""CO-CAL-Manizales"", ""CO-CAL-Palestina"", ""CO-CAL-Risaralda"", ""CO-CAL-Villamaria"", ""CO-RIS-Marsella"", ""CO-RIS-SantaRosaCabal""], ""sys_housenumbering"": ""street-metric""}"
410729,170,17272,Filadelfia,CAL,,1525422,filadelfia,CO-CAL-Filadelfia,,"{""area_sr"": 0.01594, ""area_km2"": 195, ""boundary"": ""administrative"", ""objectid"": 4073, ""DANE:area"": 215.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Filadelfia (Caldas)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 14, ""side_estim_deg"": 0.1263, ""DANE:departamento"": 17, ""elongation_factor"": 1.61, ""shares_border_with"": [""CO-CAL-Aranzazu"", ""CO-CAL-LaMerced"", ""CO-CAL-Neira"", ""CO-CAL-Riosucio"", ""CO-CAL-Supia"", ""CO-RIS-Quinchia""], ""sys_housenumbering"": ""street-metric""}"
407425,170,17380,"La Dorada",CAL,,2279516,la.dorada,CO-CAL-LaDorada,,"{""area_sr"": 0.04386, ""area_km2"": 537, ""boundary"": ""administrative"", ""objectid"": 3501, ""DANE:area"": 574.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Dorada (Caldas)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2094, ""DANE:departamento"": 17, ""elongation_factor"": 3.18, ""shares_border_with"": [""CO-ANT-Sonson"", ""CO-BOY-PuertoBoyaca"", ""CO-CAL-Norcasia"", ""CO-CAL-Victoria"", ""CO-CUN-Guaduas"", ""CO-CUN-PuertoSalgar"", ""CO-TOL-Honda""], ""sys_housenumbering"": ""street-metric""}"
410732,170,17388,"La Merced",CAL,,1574759,la.merced,CO-CAL-LaMerced,,"{""area_sr"": 0.00726, ""area_km2"": 89, ""boundary"": ""administrative"", ""objectid"": 4075, ""DANE:area"": 100.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Merced (Caldas)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 9.4, ""side_estim_deg"": 0.0852, ""DANE:departamento"": 17, ""elongation_factor"": 1.68, ""shares_border_with"": [""CO-CAL-Aranzazu"", ""CO-CAL-Filadelfia"", ""CO-CAL-Marmato"", ""CO-CAL-Pacora"", ""CO-CAL-Salamina"", ""CO-CAL-Supia""], ""sys_housenumbering"": ""street-metric""}"
385842,170,17001,Manizales,CAL,,235190,manizales,CO-CAL-Manizales,,"{""area_sr"": 0.03607, ""name:ar"": ""منثاليس"", ""name:ca"": ""Manizales"", ""name:de"": ""Manizales"", ""name:en"": ""Manizales"", ""name:fr"": ""Manizales"", ""name:ja"": ""マニサレス"", ""name:ko"": ""마니살레스"", ""name:lt"": ""Manisalesas"", ""name:ru"": ""Манисалес"", ""name:uk"": ""Манісалес"", ""name:zh"": ""马尼萨莱斯"", ""area_km2"": 442, ""boundary"": ""administrative"", ""DANE:area"": 453.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Manizales"", ""entidad_te"": ""CAP. DEPTO"", ""population"": 420525, ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 21, ""side_estim_deg"": 0.1899, ""elongation_factor"": 2.62, ""shares_border_with"": [""CO-CAL-Anserma"", ""CO-CAL-Chinchina"", ""CO-CAL-Marulanda"", ""CO-CAL-Neira"", ""CO-CAL-Palestina"", ""CO-CAL-Villamaria"", ""CO-TOL-Herveo""], ""sys_housenumbering"": ""street-metric""}"
407426,170,17433,Manzanares,CAL,,1442335,manzanares,CO-CAL-Manzanares,,"{""area_sr"": 0.01641, ""area_km2"": 201, ""boundary"": ""administrative"", ""objectid"": 3503, ""DANE:area"": 195.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Manzanares (Caldas)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caldas"", ""side_estim_km"": 14.2, ""side_estim_deg"": 0.1281, ""DANE:departamento"": 17, ""elongation_factor"": 1.74, ""shares_border_with"": [""CO-CAL-Marquetalia"", ""CO-CAL-Marulanda"", ""CO-CAL-Pensilvania"", ""CO-TOL-Fresno"", ""CO-TOL-Herveo""], ""sys_housenumbering"": ""street-metric""}"
