osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1342121,170,18029,Albania,CAQ,,,albania,CO-CAQ-Albania,,"{""_ID"": -89237, ""area_sr"": 0.03455, ""area_km2"": 425, ""boundary"": ""administrative"", ""objectid"": 3419, ""DANE:area"": 1080.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 20.6, ""side_estim_deg"": 0.1859, ""elongation_factor"": 1.6, ""shares_border_with"": [""CO-CAQ-BelenAndaquies"", ""CO-CAQ-Curillo"", ""CO-CAQ-SanJoseFragua"", ""CO-CAQ-Valparaiso""], ""sys_housenumbering"": ""street-metric""}"
1342131,170,18094,"Belén de los Andaquíes",CAQ,,1579354,belen.andaquies,CO-CAQ-BelenAndaquies,,"{""area_sr"": 0.09303, ""area_km2"": 1145, ""boundary"": ""administrative"", ""objectid"": 3422, ""DANE:area"": 2292.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Florencia (Caquetá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 33.8, ""side_estim_deg"": 0.305, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-CAQ-Albania"", ""CO-CAQ-Florencia"", ""CO-CAQ-Morelia"", ""CO-CAQ-SanJoseFragua"", ""CO-CAQ-Valparaiso"", ""CO-HUI-Acevedo""], ""sys_housenumbering"": ""street-metric""}"
1342117,170,18150,"Cartagena del Chairá",CAQ,,1391874,cartagena.chaira,CO-CAQ-CartagenaChaira,,"{""_ID"": -110519, ""area_sr"": 1.03568, ""area_km2"": 12747, ""boundary"": ""administrative"", ""co:place"": ""county"", ""objectid"": 3429, ""DANE:area"": 41653.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 112.9, ""side_estim_deg"": 1.0177, ""elongation_factor"": 2.82, ""shares_border_with"": [""CO-CAQ-ElDoncello"", ""CO-CAQ-ElPaujil"", ""CO-CAQ-LaMontanita"", ""CO-CAQ-PuertoRico"", ""CO-CAQ-SanVicenteCaguan"", ""CO-CAQ-Solano""], ""sys_housenumbering"": ""street-metric""}"
1456137,170,18205,Curillo,CAQ,,660268,curillo,CO-CAQ-Curillo,,"{""area_sr"": 0.03992, ""area_km2"": 491, ""boundary"": ""administrative"", ""objectid"": 4009, ""DANE:area"": 459.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Curillo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 22.2, ""side_estim_deg"": 0.1998, ""DANE:departamento"": 18, ""elongation_factor"": 3.25, ""shares_border_with"": [""CO-CAQ-Albania"", ""CO-CAQ-SanJoseFragua"", ""CO-CAQ-Solita"", ""CO-CAQ-Valparaiso"", ""CO-CAU-Piamonte"", ""CO-PUT-PuertoGuzman""], ""sys_housenumbering"": ""street-metric""}"
1342119,170,18247,"El Doncello",CAQ,,746033,el.doncello,CO-CAQ-ElDoncello,,"{""area_sr"": 0.089, ""area_km2"": 1095, ""boundary"": ""administrative"", ""objectid"": 3425, ""DANE:area"": 1027.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Doncello"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 33.1, ""side_estim_deg"": 0.2983, ""elongation_factor"": 3.86, ""shares_border_with"": [""CO-CAQ-CartagenaChaira"", ""CO-CAQ-ElPaujil"", ""CO-CAQ-PuertoRico"", ""CO-HUI-Algeciras""], ""sys_housenumbering"": ""street-metric""}"
1342099,170,18256,"El Paujil",CAQ,,,el.paujil,CO-CAQ-ElPaujil,,"{""_ID"": -98734, ""area_sr"": 0.10132, ""area_km2"": 1247, ""boundary"": ""administrative"", ""objectid"": 3424, ""DANE:area"": 1336.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 35.3, ""side_estim_deg"": 0.3183, ""elongation_factor"": 3.97, ""shares_border_with"": [""CO-CAQ-CartagenaChaira"", ""CO-CAQ-ElDoncello"", ""CO-CAQ-Florencia"", ""CO-CAQ-LaMontanita"", ""CO-HUI-Garzon"", ""CO-HUI-Gigante""], ""sys_housenumbering"": ""street-metric""}"
4079004,170,18001,Florencia,CAQ,,,florencia,CO-CAQ-Florencia,,"{""area_sr"": 0.21004, ""area_km2"": 2584, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 50.8, ""side_estim_deg"": 0.4583, ""elongation_factor"": 1.99, ""shares_border_with"": [""CO-CAQ-BelenAndaquies"", ""CO-CAQ-ElPaujil"", ""CO-CAQ-LaMontanita"", ""CO-CAQ-Milan"", ""CO-CAQ-Morelia"", ""CO-HUI-Garzon"", ""CO-HUI-Guadalupe"", ""CO-HUI-Suaza""]}"
1342111,170,18410,"La Montañita",CAQ,,1441926,la.montanita,CO-CAQ-LaMontanita,,"{""area_sr"": 0.13838, ""area_km2"": 1703, ""boundary"": ""administrative"", ""objectid"": 3423, ""DANE:area"": 2001.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Montañita (Caquetá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 41.3, ""side_estim_deg"": 0.372, ""elongation_factor"": 2.83, ""shares_border_with"": [""CO-CAQ-CartagenaChaira"", ""CO-CAQ-ElPaujil"", ""CO-CAQ-Florencia"", ""CO-CAQ-Milan"", ""CO-CAQ-Solano""], ""sys_housenumbering"": ""street-metric""}"
1459025,170,18460,Milán,CAQ,,1576645,milan,CO-CAQ-Milan,,"{""area_sr"": 0.10059, ""area_km2"": 1238, ""boundary"": ""administrative"", ""objectid"": 4011, ""DANE:area"": 1366.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Puerto Milán"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 35.2, ""side_estim_deg"": 0.3172, ""DANE:departamento"": 18, ""elongation_factor"": 1.62, ""shares_border_with"": [""CO-CAQ-Florencia"", ""CO-CAQ-LaMontanita"", ""CO-CAQ-Morelia"", ""CO-CAQ-Solano"", ""CO-CAQ-Valparaiso""], ""sys_housenumbering"": ""street-metric""}"
1459033,170,18479,Morelia,CAQ,,1654632,morelia,CO-CAQ-Morelia,,"{""area_sr"": 0.03725, ""area_km2"": 458, ""boundary"": ""administrative"", ""objectid"": 4010, ""DANE:area"": 440.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Morelia (Caquetá)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Caquetá"", ""side_estim_km"": 21.4, ""side_estim_deg"": 0.193, ""DANE:departamento"": 18, ""elongation_factor"": 2.27, ""shares_border_with"": [""CO-CAQ-BelenAndaquies"", ""CO-CAQ-Florencia"", ""CO-CAQ-Milan"", ""CO-CAQ-Valparaiso""], ""sys_housenumbering"": ""street-metric""}"
