osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
11317213,170,85010,Aguazul,CAS,,13663,aguazul,CO-CAS-Aguazul,,"{""area_sr"": 0.11796, ""area_km2"": 1446, ""boundary"": ""administrative"", ""DANE:area"": 1455, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aguazul"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 38, ""side_estim_deg"": 0.3435, ""DANE:departamento"": 85, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-BOY-Pajarito"", ""CO-CAS-Mani"", ""CO-CAS-Recetor"", ""CO-CAS-Tauramena"", ""CO-CAS-Yopal""], ""sys_housenumbering"": ""street-metric""}"
1438574,170,85015,Chámeza,CAS,,1654975,chameza,CO-CAS-Chameza,,"{""area_sr"": 0.02566, ""area_km2"": 315, ""boundary"": ""administrative"", ""objectid"": 4246, ""DANE:area"": 289.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Chámeza"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1602, ""DANE:departamento"": 85, ""elongation_factor"": 2.26, ""shares_border_with"": [""CO-BOY-Aquitania"", ""CO-BOY-Paez"", ""CO-CAS-Recetor"", ""CO-CAS-Tauramena""], ""sys_housenumbering"": ""street-metric""}"
1438572,170,85125,"Hato Corozal",CAS,,1575569,hato.corozal,CO-CAS-HatoCorozal,,"{""area_sr"": 0.44767, ""area_km2"": 5480, ""boundary"": ""administrative"", ""objectid"": 4251, ""DANE:area"": 5581.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Hato Corozal"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 74, ""side_estim_deg"": 0.6691, ""DANE:departamento"": 85, ""elongation_factor"": 4.3, ""shares_border_with"": [""CO-ARA-CravoNorte"", ""CO-ARA-PuertoRondon"", ""CO-ARA-Tame"", ""CO-CAS-PazAriporo"", ""CO-CAS-Sacama"", ""CO-CAS-Tamara""], ""sys_housenumbering"": ""street-metric""}"
1438584,170,85136,"La Salina",CAS,,952145,la.salina,CO-CAS-LaSalina,,"{""area_sr"": 0.01591, ""area_km2"": 195, ""boundary"": ""administrative"", ""objectid"": 4249, ""DANE:area"": 194.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Salina"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 14, ""side_estim_deg"": 0.1261, ""DANE:departamento"": 85, ""elongation_factor"": 2, ""shares_border_with"": [""CO-ARA-Tame"", ""CO-BOY-Chita"", ""CO-BOY-ElCocuy"", ""CO-CAS-Sacama""], ""sys_housenumbering"": ""street-metric""}"
11317170,170,85139,Maní,CAS,,1579380,mani,CO-CAS-Mani,,"{""area_sr"": 0.30465, ""area_km2"": 3738, ""boundary"": ""administrative"", ""DANE:area"": 3860, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Maní"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 61.1, ""side_estim_deg"": 0.552, ""DANE:departamento"": 85, ""elongation_factor"": 2.39, ""shares_border_with"": [""CO-CAS-Aguazul"", ""CO-CAS-Orocue"", ""CO-CAS-Tauramena"", ""CO-CAS-Yopal"", ""CO-MET-PuertoCarreno"", ""CO-MET-PuertoLopez""], ""sys_housenumbering"": ""street-metric""}"
11318880,170,85162,Monterrey,CAS,,1525276,monterrey,CO-CAS-Monterrey,,"{""area_sr"": 0.06334, ""area_km2"": 777, ""boundary"": ""administrative"", ""DANE:area"": 879, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Monterrey"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 27.9, ""side_estim_deg"": 0.2517, ""DANE:departamento"": 85, ""elongation_factor"": 2.08, ""shares_border_with"": [""CO-BOY-Paez"", ""CO-CAS-Sabanalarga"", ""CO-CAS-Tauramena"", ""CO-CAS-Villanueva""], ""sys_housenumbering"": ""street-metric""}"
11313213,170,85225,Nunchía,CAS,,1575548,nunchia,CO-CAS-Nunchia,,"{""area_sr"": 0.0936, ""area_km2"": 1147, ""boundary"": ""administrative"", ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Nunchía"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 33.9, ""side_estim_deg"": 0.3059, ""DANE:departamento"": 85, ""elongation_factor"": 2.25, ""shares_border_with"": [""CO-BOY-Paya"", ""CO-CAS-Pore"", ""CO-CAS-SanLuisPalenque"", ""CO-CAS-Tamara"", ""CO-CAS-Yopal""], ""sys_housenumbering"": ""street-metric""}"
11313104,170,85230,Orocué,CAS,,1576308,orocue,CO-CAS-Orocue,,"{""area_sr"": 0.38449, ""area_km2"": 4716, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 68.7, ""side_estim_deg"": 0.6201, ""elongation_factor"": 2.27, ""shares_border_with"": [""CO-CAS-Mani"", ""CO-CAS-SanLuisPalenque"", ""CO-CAS-Yopal"", ""CO-MET-PuertoCarreno"", ""CO-VID-SantaRosalia""]}"
1438576,170,85250,"Paz de Ariporo",CAS,,1442453,paz.ariporo,CO-CAS-PazAriporo,,"{""area_sr"": 0.98622, ""area_km2"": 12079, ""boundary"": ""administrative"", ""objectid"": 4250, ""DANE:area"": 12114.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Paz de Ariporo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 109.9, ""side_estim_deg"": 0.9931, ""DANE:departamento"": 85, ""elongation_factor"": 2.65, ""shares_border_with"": [""CO-ARA-CravoNorte"", ""CO-CAS-HatoCorozal"", ""CO-CAS-Pore"", ""CO-CAS-Tamara"", ""CO-CAS-Trinidad"", ""CO-VID-LaPrimavera"", ""CO-VID-SantaRosalia""], ""sys_housenumbering"": ""street-metric""}"
11313241,170,85263,Pore,CAS,,1555513,pore,CO-CAS-Pore,,"{""area_sr"": 0.06359, ""area_km2"": 779, ""boundary"": ""administrative"", ""DANE:area"": 780.4, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Pore"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Casanare"", ""side_estim_km"": 27.9, ""side_estim_deg"": 0.2522, ""DANE:departamento"": 85, ""elongation_factor"": 2.37, ""shares_border_with"": [""CO-CAS-Nunchia"", ""CO-CAS-PazAriporo"", ""CO-CAS-SanLuisPalenque"", ""CO-CAS-Tamara"", ""CO-CAS-Trinidad""], ""sys_housenumbering"": ""street-metric""}"
10298142,170,85279,Recetor,CAS,,954584,recetor,CO-CAS-Recetor,,"{""area_sr"": 0.01527, ""area_km2"": 187, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.7, ""side_estim_deg"": 0.1236, ""elongation_factor"": 2, ""shares_border_with"": [""CO-BOY-Aquitania"", ""CO-BOY-Pajarito"", ""CO-CAS-Aguazul"", ""CO-CAS-Chameza"", ""CO-CAS-Tauramena""]}"
