osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1423511,170,20011,Aguachica,CES,,2309010,aguachica,CO-CES-Aguachica,,"{""area_sr"": 0.07102, ""area_km2"": 865, ""boundary"": ""administrative"", ""objectid"": 4280, ""DANE:area"": 917.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Aguachica"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 29.4, ""side_estim_deg"": 0.2665, ""DANE:departamento"": 20, ""elongation_factor"": 2.45, ""shares_border_with"": [""CO-BOL-Morales"", ""CO-CES-Gamarra"", ""CO-CES-LaGloria"", ""CO-CES-RioOro"", ""CO-CES-SanMartin"", ""CO-NSA-ElCarmen"", ""CO-NSA-Ocana"", ""CO-SAN-PuertoWilches""], ""sys_housenumbering"": ""street-metric""}"
11890103,170,20013,"Agustín Codazzi",CES,,781307,agustin.codazzi,CO-CES-AgustinCodazzi,,"{""area_sr"": 0.1445, ""area_km2"": 1753, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 41.9, ""side_estim_deg"": 0.3801, ""elongation_factor"": 2.44, ""shares_border_with"": [""CO-CES-Becerril"", ""CO-CES-ElPaso"", ""CO-CES-LaPaz"", ""VE-V-MachiquesPerija""]}"
1423484,170,20032,Astrea,CES,,1525298,astrea,CO-CES-Astrea,,"{""area_sr"": 0.05657, ""area_km2"": 687, ""boundary"": ""administrative"", ""objectid"": 4275, ""DANE:area"": 583.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Astrea (Cesar)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 26.2, ""side_estim_deg"": 0.2378, ""DANE:departamento"": 20, ""elongation_factor"": 1.4, ""shares_border_with"": [""CO-CES-Chimichagua"", ""CO-CES-Chiriguana"", ""CO-CES-ElPaso"", ""CO-MAG-PijinoCarmen"", ""CO-MAG-SanSebastianBuenavista""], ""sys_housenumbering"": ""street-metric""}"
2721167,170,20045,Becerril,CES,,,becerril,CO-CES-Becerril,,"{""area_sr"": 0.10143, ""area_km2"": 1231, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 35.1, ""side_estim_deg"": 0.3185, ""elongation_factor"": 2.43, ""shares_border_with"": [""CO-CES-AgustinCodazzi"", ""CO-CES-ElPaso"", ""CO-CES-LaJaguaIbirico"", ""VE-V-MachiquesPerija""]}"
1423468,170,20060,Bosconia,CES,,1391851,bosconia,CO-CES-Bosconia,,"{""area_sr"": 0.04711, ""area_km2"": 571, ""boundary"": ""administrative"", ""objectid"": 4273, ""DANE:area"": 578.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Bosconia"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 23.9, ""side_estim_deg"": 0.2171, ""DANE:departamento"": 20, ""elongation_factor"": 1.48, ""shares_border_with"": [""CO-CES-ElCopey"", ""CO-CES-ElPaso"", ""CO-CES-Valledupar"", ""CO-MAG-Ariguani"", ""CO-MAG-SabanasSanAngel""], ""sys_housenumbering"": ""street-metric""}"
1423474,170,20175,Chimichagua,CES,,509339,chimichagua,CO-CES-Chimichagua,,"{""area_sr"": 0.11323, ""area_km2"": 1376, ""boundary"": ""administrative"", ""objectid"": 4276, ""DANE:area"": 1425.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Chimichagua"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 37.1, ""side_estim_deg"": 0.3365, ""DANE:departamento"": 20, ""elongation_factor"": 2.48, ""shares_border_with"": [""CO-CES-Astrea"", ""CO-CES-Chiriguana"", ""CO-CES-Curumani"", ""CO-CES-Pailitas"", ""CO-CES-Tamalameque"", ""CO-MAG-ElBanco"", ""CO-MAG-Guamal"", ""CO-MAG-SanSebastianBuenavista"", ""CO-NSA-ElCarmen""], ""sys_housenumbering"": ""street-metric""}"
11891460,170,20178,Chiriguaná,CES,,1440741,chiriguana,CO-CES-Chiriguana,,"{""area_sr"": 0.09205, ""website"": ""www.chiriguana-cesar.gov.co"", ""area_km2"": 1118, ""boundary"": ""administrative"", ""DANE:area"": 1131.59, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Chiriguaná"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 33.4, ""side_estim_deg"": 0.3034, ""DANE:departamento"": 20, ""elongation_factor"": 2.73, ""shares_border_with"": [""CO-CES-Astrea"", ""CO-CES-Chimichagua"", ""CO-CES-Curumani"", ""CO-CES-ElPaso"", ""CO-CES-LaJaguaIbirico"", ""VE-V-JesusMariaSemprum""], ""sys_housenumbering"": ""street-metric""}"
11891221,170,20228,Curumaní,CES,,2309031,curumani,CO-CES-Curumani,,"{""area_sr"": 0.07542, ""website"": ""www.curumani-cesar.gov.co"", ""area_km2"": 917, ""boundary"": ""administrative"", ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Curumaní"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 30.3, ""side_estim_deg"": 0.2746, ""DANE:departamento"": 20, ""elongation_factor"": 1.89, ""shares_border_with"": [""CO-CES-Chimichagua"", ""CO-CES-Chiriguana"", ""CO-NSA-ElCarmen"", ""VE-V-JesusMariaSemprum""], ""sys_housenumbering"": ""street-metric""}"
4060664,170,20238,"El Copey",CES,,1440746,el.copey,CO-CES-ElCopey,,"{""area_sr"": 0.07888, ""area_km2"": 956, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 30.9, ""side_estim_deg"": 0.2809, ""elongation_factor"": 1.82, ""shares_border_with"": [""CO-CES-Bosconia"", ""CO-CES-PuebloBello"", ""CO-CES-Valledupar"", ""CO-MAG-Algarrobo"", ""CO-MAG-Fundacion"", ""CO-MAG-SabanasSanAngel""]}"
1423486,170,20250,"El Paso",CES,,1441955,el.paso,CO-CES-ElPaso,,"{""area_sr"": 0.06667, ""area_km2"": 809, ""boundary"": ""administrative"", ""objectid"": 4274, ""DANE:area"": 864.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:El Paso (Cesar)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 28.4, ""side_estim_deg"": 0.2582, ""DANE:departamento"": 20, ""elongation_factor"": 2.4, ""shares_border_with"": [""CO-CES-AgustinCodazzi"", ""CO-CES-Astrea"", ""CO-CES-Becerril"", ""CO-CES-Bosconia"", ""CO-CES-Chiriguana"", ""CO-CES-LaJaguaIbirico"", ""CO-CES-LaPaz"", ""CO-CES-Valledupar"", ""CO-MAG-Ariguani"", ""CO-MAG-PijinoCarmen"", ""CO-MAG-SantaAna""], ""sys_housenumbering"": ""street-metric""}"
1351868,170,20295,Gamarra,CES,,1525797,gamarra,CO-CES-Gamarra,,"{""area_sr"": 0.02724, ""area_km2"": 332, ""boundary"": ""administrative"", ""objectid"": 4438, ""DANE:area"": 356.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""en:Gamarra, Cesar"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 18.2, ""side_estim_deg"": 0.165, ""DANE:departamento"": 20, ""elongation_factor"": 2.16, ""shares_border_with"": [""CO-BOL-Morales"", ""CO-BOL-RioViejo"", ""CO-CES-Aguachica"", ""CO-CES-LaGloria""], ""sys_housenumbering"": ""street-metric""}"
4060699,170,20310,González,CES,,,gonzalez,CO-CES-Gonzalez,,"{""area_sr"": 0.00527, ""area_km2"": 64, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 8, ""side_estim_deg"": 0.0726, ""elongation_factor"": 2.03, ""shares_border_with"": [""CO-CES-RioOro"", ""CO-NSA-Convencion"", ""CO-NSA-ElCarmen"", ""CO-NSA-Ocana""]}"
1423447,170,20383,"La Gloria",CES,,1526106,la.gloria,CO-CES-LaGloria,,"{""area_sr"": 0.06819, ""area_km2"": 830, ""boundary"": ""administrative"", ""objectid"": 4279, ""DANE:area"": 789.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:La Gloria (Cesar)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cesar"", ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2611, ""DANE:departamento"": 20, ""elongation_factor"": 2.43, ""shares_border_with"": [""CO-BOL-Regidor"", ""CO-BOL-RioViejo"", ""CO-CES-Aguachica"", ""CO-CES-Gamarra"", ""CO-CES-Pelaya"", ""CO-CES-Tamalameque"", ""CO-NSA-ElCarmen""], ""sys_housenumbering"": ""street-metric""}"
