osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1343260,170,27006,Acandí,CHO,,1575935,acandi,CO-CHO-Acandi,,"{""area_sr"": 0.06533, ""area_km2"": 796, ""boundary"": ""administrative"", ""objectid"": 3498, ""DANE:area"": 61.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""wikipedia:es"": ""Acandí"", ""side_estim_km"": 28.2, ""side_estim_deg"": 0.2556, ""elongation_factor"": 2.31, ""shares_border_with"": [""CO-CHO-Unguia""], ""sys_housenumbering"": ""street-metric""}"
1343040,170,27025,"Alto Baudó",CHO,,,alto.baudo,CO-CHO-AltoBaudo,,"{""_ID"": -243168, ""area_sr"": 0.1685, ""area_km2"": 2064, ""boundary"": ""administrative"", ""objectid"": 3489, ""DANE:area"": 1532.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 45.4, ""side_estim_deg"": 0.4105, ""elongation_factor"": 2.8, ""shares_border_with"": [""CO-CHO-BahiaSolano"", ""CO-CHO-BajoBaudo"", ""CO-CHO-Bojaya"", ""CO-CHO-ElCantonSanPablo"", ""CO-CHO-MedioBaudo"", ""CO-CHO-Nuqui"", ""CO-CHO-Paimado"", ""CO-CHO-Quibdo""], ""sys_housenumbering"": ""street-metric""}"
1307008,170,27073,Bagadó,CHO,,,bagado,CO-CHO-Bagado,,"{""area_sr"": 0.06569, ""area_km2"": 805, ""boundary"": ""administrative"", ""objectid"": 4065, ""DANE:area"": 770.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 28.4, ""side_estim_deg"": 0.2563, ""DANE:departamento"": 27, ""elongation_factor"": 2.02, ""shares_border_with"": [""CO-ANT-Andes"", ""CO-ANT-Betania"", ""CO-CHO-Certegui"", ""CO-CHO-ElCarmenAtrato"", ""CO-CHO-Lloro"", ""CO-CHO-Tado"", ""CO-RIS-Mistrato"", ""CO-RIS-PuebloRico""], ""sys_housenumbering"": ""street-metric""}"
1343136,170,27075,"Bahía Solano",CHO,,1579457,bahia.solano,CO-CHO-BahiaSolano,,"{""id"": -250545, ""area_sr"": 0.07371, ""area_km2"": 902, ""boundary"": ""administrative"", ""objectid"": 3492, ""DANE:area"": 976.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bahía Solano"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 30, ""side_estim_deg"": 0.2715, ""elongation_factor"": 4.41, ""shares_border_with"": [""CO-CHO-AltoBaudo"", ""CO-CHO-Bojaya"", ""CO-CHO-CarmenDarien"", ""CO-CHO-Jurado"", ""CO-CHO-Nuqui"", ""CO-CHO-Riosucio""], ""sys_housenumbering"": ""street-metric""}"
1343028,170,27077,"Bajo Baudó",CHO,,1525766,bajo.baudo,CO-CHO-BajoBaudo,,"{""_ID"": -233852, ""area_sr"": 0.27742, ""area_km2"": 3402, ""boundary"": ""administrative"", ""objectid"": 3486, ""DANE:area"": 3630.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bajo Baudó (Pizarro)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 58.3, ""side_estim_deg"": 0.5267, ""elongation_factor"": 4.09, ""shares_border_with"": [""CO-CHO-AltoBaudo"", ""CO-CHO-ElLitoralSanJuan"", ""CO-CHO-Istmina"", ""CO-CHO-MedioBaudo"", ""CO-CHO-Nuqui""], ""sys_housenumbering"": ""street-metric""}"
1343266,170,27099,Bojayá,CHO,,,bojaya,CO-CHO-Bojaya,,"{""area_sr"": 0.29413, ""area_km2"": 3598, ""boundary"": ""administrative"", ""objectid"": 3516, ""DANE:area"": 3546.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 60, ""side_estim_deg"": 0.5423, ""elongation_factor"": 2.36, ""shares_border_with"": [""CO-ANT-VigiaFuerte"", ""CO-CHO-AltoBaudo"", ""CO-CHO-BahiaSolano"", ""CO-CHO-CarmenDarien"", ""CO-CHO-Quibdo""], ""sys_housenumbering"": ""street-metric""}"
1343139,170,27150,"Carmen del Darién",CHO,,963885,carmen.darien,CO-CHO-CarmenDarien,,"{""id"": -252601, ""area_sr"": 0.25934, ""area_km2"": 3169, ""boundary"": ""administrative"", ""objectid"": 3493, ""DANE:area"": 3197.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Carmen del Darién"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 56.3, ""side_estim_deg"": 0.5093, ""elongation_factor"": 2.27, ""shares_border_with"": [""CO-ANT-Dabeiba"", ""CO-ANT-Murindo"", ""CO-ANT-VigiaFuerte"", ""CO-CHO-BahiaSolano"", ""CO-CHO-Bojaya"", ""CO-CHO-Riosucio""], ""sys_housenumbering"": ""street-metric""}"
1309483,170,27205,Condoto,CHO,,1525250,condoto,CO-CHO-Condoto,,"{""area_sr"": 0.03801, ""area_km2"": 466, ""boundary"": ""administrative"", ""objectid"": 4062, ""DANE:area"": 626.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Condoto"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 21.6, ""side_estim_deg"": 0.195, ""DANE:departamento"": 27, ""elongation_factor"": 2.85, ""shares_border_with"": [""CO-CHO-MedioSanJuan"", ""CO-CHO-Novita"", ""CO-CHO-RioIro"", ""CO-CHO-SanJosePalmar"", ""CO-CHO-Tado""], ""sys_housenumbering"": ""street-metric""}"
1309484,170,27160,Cértegui,CHO,,610657,certegui,CO-CHO-Certegui,,"{""area_sr"": 0.03327, ""alt_name"": ""Certegui"", ""area_km2"": 408, ""boundary"": ""administrative"", ""objectid"": 4064, ""DANE:area"": 301.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cértegui"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""name:source"": ""es.wikipedia"", ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1824, ""alt_name:source"": ""OCHA-SIGOT"", ""DANE:departamento"": 27, ""elongation_factor"": 2.72, ""shares_border_with"": [""CO-CHO-Bagado"", ""CO-CHO-ElAtrato"", ""CO-CHO-ElCantonSanPablo"", ""CO-CHO-LasAnimas"", ""CO-CHO-Lloro"", ""CO-CHO-Paimado"", ""CO-CHO-Tado""], ""sys_housenumbering"": ""street-metric""}"
1348348,170,27050,"El Atrato",CHO,,1576206,el.atrato,CO-CHO-ElAtrato,,"{""area_sr"": 0.03519, ""area_km2"": 431, ""boundary"": ""administrative"", ""objectid"": 4398, ""DANE:area"": 415.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Atrato"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Chocó"", ""side_estim_km"": 20.8, ""side_estim_deg"": 0.1876, ""DANE:departamento"": 27, ""elongation_factor"": 2.19, ""shares_border_with"": [""CO-CHO-Certegui"", ""CO-CHO-Lloro"", ""CO-CHO-Paimado"", ""CO-CHO-Quibdo""], ""sys_housenumbering"": ""street-metric""}"
