osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1343439,170,23068,Ayapel,COR,,2430087,ayapel,CO-COR-Ayapel,,"{""_ID"": -311894, ""area_sr"": 0.15838, ""area_km2"": 1930, ""boundary"": ""administrative"", ""objectid"": 3544, ""DANE:area"": 1929.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Ayapel"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 43.9, ""side_estim_deg"": 0.398, ""elongation_factor"": 1.64, ""shares_border_with"": [""CO-ANT-Caucasia"", ""CO-ANT-Nechi"", ""CO-BOL-SanJacintoCauca"", ""CO-COR-Buenavista"", ""CO-COR-LaApartada"", ""CO-COR-PuebloNuevo"", ""CO-SUC-Guaranda"", ""CO-SUC-Majagual"", ""CO-SUC-SanBenitoAbad"", ""CO-SUC-SanMarcos""], ""sys_housenumbering"": ""street-metric""}"
1324945,170,23079,Buenavista,COR,,,buenavista,CO-COR-Buenavista,,"{""area_sr"": 0.0681, ""area_km2"": 830, ""boundary"": ""administrative"", ""objectid"": 4172, ""DANE:area"": 847.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 28.8, ""side_estim_deg"": 0.261, ""DANE:departamento"": 23, ""elongation_factor"": 2.34, ""shares_border_with"": [""CO-COR-Ayapel"", ""CO-COR-LaApartada"", ""CO-COR-Montelibano"", ""CO-COR-PlanetaRica"", ""CO-COR-PuebloNuevo""], ""sys_housenumbering"": ""street-metric""}"
1343458,170,23090,Canalete,COR,,1526135,canalete,CO-COR-Canalete,,"{""_ID"": -300473, ""area_sr"": 0.03036, ""area_km2"": 369, ""boundary"": ""administrative"", ""objectid"": 3534, ""DANE:area"": 394.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Canalete (Colombia)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1742, ""elongation_factor"": 1.22, ""shares_border_with"": [""CO-ANT-Arboletes"", ""CO-COR-LosCordobas"", ""CO-COR-Monteria""], ""sys_housenumbering"": ""street-metric""}"
1350661,170,23162,Cereté,COR,,2308618,cerete,CO-COR-Cerete,,"{""area_sr"": 0.02193, ""area_km2"": 267, ""boundary"": ""administrative"", ""objectid"": 4427, ""DANE:area"": 266.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Cereté"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1481, ""DANE:departamento"": 23, ""elongation_factor"": 3.14, ""shares_border_with"": [""CO-COR-CienagaOro"", ""CO-COR-Monteria"", ""CO-COR-SanCarlos"", ""CO-COR-SanPelayo""], ""sys_housenumbering"": ""street-metric""}"
1343438,170,23168,Chimá,COR,,1525620,chima,CO-COR-Chima,,"{""_ID"": -305030, ""area_sr"": 0.02634, ""area_km2"": 320, ""boundary"": ""administrative"", ""objectid"": 3539, ""DANE:area"": 326.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Chimá"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 17.9, ""side_estim_deg"": 0.1623, ""elongation_factor"": 1.78, ""shares_border_with"": [""CO-COR-CienagaOro"", ""CO-COR-Cotorra"", ""CO-COR-Lorica"", ""CO-COR-Momil"", ""CO-COR-SanAndresSotavento"", ""CO-COR-SanPelayo"", ""CO-COR-Tuchin""], ""sys_housenumbering"": ""street-metric""}"
1343467,170,23182,Chinú,COR,,2387112,chinu,CO-COR-Chinu,,"{""_ID"": -307299, ""area_sr"": 0.04807, ""area_km2"": 585, ""boundary"": ""administrative"", ""objectid"": 3541, ""DANE:area"": 624.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Chinú"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 24.2, ""side_estim_deg"": 0.2193, ""elongation_factor"": 2.36, ""shares_border_with"": [""CO-COR-CienagaOro"", ""CO-COR-Sahagun"", ""CO-COR-SanAndresSotavento"", ""CO-SUC-Caimito"", ""CO-SUC-ElRoble"", ""CO-SUC-LaUnion"", ""CO-SUC-Sampues"", ""CO-SUC-SanBenitoAbad""], ""sys_housenumbering"": ""street-metric""}"
1343437,170,23189,"Ciénaga de Oro",COR,,2069794,cienaga.oro,CO-COR-CienagaOro,,"{""area_sr"": 0.05236, ""area_km2"": 637, ""boundary"": ""administrative"", ""objectid"": 3542, ""DANE:area"": 644.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Ciénaga de Oro"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 25.2, ""side_estim_deg"": 0.2288, ""elongation_factor"": 2.7, ""shares_border_with"": [""CO-COR-Cerete"", ""CO-COR-Chima"", ""CO-COR-Chinu"", ""CO-COR-PuebloNuevo"", ""CO-COR-Sahagun"", ""CO-COR-SanAndresSotavento"", ""CO-COR-SanCarlos"", ""CO-COR-SanPelayo""], ""sys_housenumbering"": ""street-metric""}"
1350656,170,23300,Cotorra,COR,,1526122,cotorra,CO-COR-Cotorra,,"{""area_sr"": 0.00716, ""area_km2"": 87, ""boundary"": ""administrative"", ""objectid"": 4428, ""DANE:area"": 79.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Cotorra (Colombia)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 9.3, ""side_estim_deg"": 0.0846, ""DANE:departamento"": 23, ""elongation_factor"": 2.35, ""shares_border_with"": [""CO-COR-Chima"", ""CO-COR-Lorica"", ""CO-COR-SanPelayo""], ""sys_housenumbering"": ""street-metric""}"
1324935,170,23350,"La Apartada",COR,,,la.apartada,CO-COR-LaApartada,,"{""area_sr"": 0.0216, ""area_km2"": 263, ""boundary"": ""administrative"", ""objectid"": 4173, ""DANE:area"": 268.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 16.2, ""side_estim_deg"": 0.147, ""DANE:departamento"": 23, ""elongation_factor"": 2.11, ""shares_border_with"": [""CO-ANT-Caceres"", ""CO-ANT-Caucasia"", ""CO-COR-Ayapel"", ""CO-COR-Buenavista"", ""CO-COR-Montelibano""], ""sys_housenumbering"": ""street-metric""}"
1324927,170,23417,Lorica,COR,,,lorica,CO-COR-Lorica,,"{""area_sr"": 0.07426, ""area_km2"": 903, ""boundary"": ""administrative"", ""objectid"": 4167, ""DANE:area"": 890.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Córdoba"", ""side_estim_km"": 30, ""side_estim_deg"": 0.2725, ""DANE:departamento"": 23, ""elongation_factor"": 2.36, ""shares_border_with"": [""CO-COR-Chima"", ""CO-COR-Cotorra"", ""CO-COR-Momil"", ""CO-COR-Monitos"", ""CO-COR-PuertoEscondido"", ""CO-COR-Purisima"", ""CO-COR-SanAntero"", ""CO-COR-SanBernardoViento"", ""CO-COR-SanPelayo""], ""sys_housenumbering"": ""street-metric""}"
