osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1309439,170,41006,Acevedo,HUI,,1110278,acevedo,CO-HUI-Acevedo,,"{""area_sr"": 0.0438, ""area_km2"": 539, ""boundary"": ""administrative"", ""objectid"": 4023, ""DANE:area"": 700.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Acevedo (Huila)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2093, ""DANE:departamento"": 41, ""elongation_factor"": 1.85, ""shares_border_with"": [""CO-CAQ-BelenAndaquies"", ""CO-CAQ-SanJoseFragua"", ""CO-HUI-Palestina"", ""CO-HUI-Pitalito"", ""CO-HUI-Suaza"", ""CO-HUI-Timana""], ""sys_housenumbering"": ""street-metric""}"
1309446,170,41013,Agrado,HUI,,1576785,agrado,CO-HUI-Agrado,,"{""area_sr"": 0.02181, ""area_km2"": 268, ""boundary"": ""administrative"", ""objectid"": 4017, ""DANE:area"": 286.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Agrado"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 16.4, ""side_estim_deg"": 0.1477, ""DANE:departamento"": 41, ""elongation_factor"": 1.84, ""shares_border_with"": [""CO-HUI-Altamira"", ""CO-HUI-Garzon"", ""CO-HUI-Gigante"", ""CO-HUI-Paicol"", ""CO-HUI-Pital""], ""sys_housenumbering"": ""street-metric""}"
1342088,170,41016,Aipe,HUI,,1524884,aipe,CO-HUI-Aipe,,"{""area_sr"": 0.06441, ""area_km2"": 792, ""boundary"": ""administrative"", ""objectid"": 3432, ""DANE:area"": 862.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aipe"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 28.1, ""side_estim_deg"": 0.2538, ""elongation_factor"": 2.87, ""shares_border_with"": [""CO-HUI-Neiva"", ""CO-HUI-Tello"", ""CO-HUI-Villavieja"", ""CO-TOL-Ataco"", ""CO-TOL-Natagaima"", ""CO-TOL-Planadas""], ""sys_housenumbering"": ""street-metric""}"
1342087,170,41020,Algeciras,HUI,,1441055,algeciras,CO-HUI-Algeciras,,"{""area_sr"": 0.04831, ""area_km2"": 594, ""boundary"": ""administrative"", ""objectid"": 3441, ""DANE:area"": 672.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Algeciras (Huila)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 24.4, ""side_estim_deg"": 0.2198, ""elongation_factor"": 1.95, ""shares_border_with"": [""CO-CAQ-ElDoncello"", ""CO-CAQ-PuertoRico"", ""CO-CAQ-SanVicenteCaguan"", ""CO-HUI-Campoalegre"", ""CO-HUI-Gigante"", ""CO-HUI-Hobo"", ""CO-HUI-Rivera""], ""sys_housenumbering"": ""street-metric""}"
1309443,170,41026,Altamira,HUI,,1654714,altamira,CO-HUI-Altamira,,"{""area_sr"": 0.01516, ""area_km2"": 186, ""boundary"": ""administrative"", ""objectid"": 4025, ""DANE:area"": 201.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Altamira (Huila)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 13.7, ""side_estim_deg"": 0.1231, ""DANE:departamento"": 41, ""elongation_factor"": 1.94, ""shares_border_with"": [""CO-HUI-Agrado"", ""CO-HUI-Garzon"", ""CO-HUI-Guadalupe"", ""CO-HUI-Pital"", ""CO-HUI-Suaza"", ""CO-HUI-Tarqui"", ""CO-HUI-Timana""], ""sys_housenumbering"": ""street-metric""}"
1342127,170,41078,Baraya,HUI,,977818,baraya,CO-HUI-Baraya,,"{""area_sr"": 0.06225, ""area_km2"": 765, ""boundary"": ""administrative"", ""objectid"": 3431, ""DANE:area"": 737.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Baraya"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 27.7, ""side_estim_deg"": 0.2495, ""elongation_factor"": 2.06, ""shares_border_with"": [""CO-CAQ-SanVicenteCaguan"", ""CO-HUI-Colombia"", ""CO-HUI-Tello"", ""CO-HUI-Villavieja"", ""CO-MET-Uribe"", ""CO-TOL-Alpujarra""], ""sys_housenumbering"": ""street-metric""}"
1456104,170,41132,Campoalegre,HUI,,2327412,campoalegre,CO-HUI-Campoalegre,,"{""area_sr"": 0.03751, ""area_km2"": 461, ""boundary"": ""administrative"", ""objectid"": 4012, ""DANE:area"": 485.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Campoalegre"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 21.5, ""side_estim_deg"": 0.1937, ""DANE:departamento"": 41, ""elongation_factor"": 1.69, ""shares_border_with"": [""CO-HUI-Algeciras"", ""CO-HUI-Hobo"", ""CO-HUI-Palermo"", ""CO-HUI-Rivera"", ""CO-HUI-Yaguara""], ""sys_housenumbering"": ""street-metric""}"
4047593,170,41206,Colombia,HUI,,,colombia,CO-HUI-Colombia,,"{""area_sr"": 0.13265, ""area_km2"": 1630, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 40.4, ""side_estim_deg"": 0.3642, ""elongation_factor"": 2.65, ""shares_border_with"": [""CO-CUN-Cabrera"", ""CO-DC-Bogota"", ""CO-HUI-Baraya"", ""CO-MET-Uribe"", ""CO-TOL-Alpujarra"", ""CO-TOL-Dolores""]}"
1342104,170,41244,Elías,HUI,,1656750,elias,CO-HUI-Elias,,"{""area_sr"": 0.00657, ""area_km2"": 81, ""boundary"": ""administrative"", ""objectid"": 3448, ""DANE:area"": 82.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Elías (Colombia)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 9, ""side_estim_deg"": 0.0811, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-HUI-Oporapa"", ""CO-HUI-Pitalito"", ""CO-HUI-Saladoblanco"", ""CO-HUI-Tarqui"", ""CO-HUI-Timana""], ""sys_housenumbering"": ""street-metric""}"
1309450,170,41298,Garzón,HUI,,1970613,garzon,CO-HUI-Garzon,,"{""area_sr"": 0.04965, ""area_km2"": 611, ""boundary"": ""administrative"", ""objectid"": 4018, ""DANE:area"": 692.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Garzón (Huila)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Huila"", ""side_estim_km"": 24.7, ""side_estim_deg"": 0.2228, ""DANE:departamento"": 41, ""elongation_factor"": 1.81, ""shares_border_with"": [""CO-CAQ-ElPaujil"", ""CO-CAQ-Florencia"", ""CO-HUI-Agrado"", ""CO-HUI-Altamira"", ""CO-HUI-Gigante"", ""CO-HUI-Guadalupe""], ""sys_housenumbering"": ""street-metric""}"
