osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1314688,170,44035,Albania,LAG,,,albania,CO-LAG-Albania,,"{""area_sr"": 0.04504, ""area_km2"": 544, ""boundary"": ""administrative"", ""objectid"": 3660, ""DANE:area"": 545.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 23.3, ""side_estim_deg"": 0.2122, ""DANE:departamento"": 44, ""elongation_factor"": 2.17, ""shares_border_with"": [""CO-LAG-HatoNuevo"", ""CO-LAG-Maicao"", ""CO-LAG-Riohacha"", ""VE-V-IndigenaGuajira""], ""sys_housenumbering"": ""street-metric""}"
1314681,170,44078,Barrancas,LAG,,,barrancas,CO-LAG-Barrancas,,"{""area_sr"": 0.06613, ""area_km2"": 799, ""boundary"": ""administrative"", ""objectid"": 3658, ""DANE:area"": 793.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 28.3, ""side_estim_deg"": 0.2572, ""DANE:departamento"": 44, ""elongation_factor"": 1.85, ""shares_border_with"": [""CO-LAG-Fonseca"", ""CO-LAG-HatoNuevo"", ""CO-LAG-Riohacha"", ""VE-V-IndigenaGuajira"", ""VE-V-Mara""], ""sys_housenumbering"": ""street-metric""}"
1314633,170,44090,Dibulla,LAG,,1441095,dibulla,CO-LAG-Dibulla,,"{""area_sr"": 0.1454, ""area_km2"": 1757, ""boundary"": ""administrative"", ""objectid"": 3650, ""DANE:area"": 1744.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 41.9, ""side_estim_deg"": 0.3813, ""DANE:departamento"": 44, ""elongation_factor"": 1.6, ""is_in:country_code"": ""CO"", ""shares_border_with"": [""CO-CES-Valledupar"", ""CO-LAG-Riohacha"", ""CO-LAG-SanJuanCesar"", ""CO-MAG-SantaMarta""], ""sys_housenumbering"": ""street-metric""}"
1438571,170,44098,Distracción,LAG,,1525662,distraccion,CO-LAG-Distraccion,,"{""area_sr"": 0.01938, ""area_km2"": 234, ""boundary"": ""administrative"", ""objectid"": 4253, ""DANE:area"": 232.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Distracción (Colombia)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1392, ""DANE:departamento"": 44, ""elongation_factor"": 2.18, ""shares_border_with"": [""CO-LAG-Fonseca"", ""CO-LAG-Riohacha"", ""CO-LAG-SanJuanCesar""], ""sys_housenumbering"": ""street-metric""}"
1314630,170,44110,"El Molino",LAG,,1574943,el.molino,CO-LAG-ElMolino,,"{""area_sr"": 0.01983, ""area_km2"": 240, ""boundary"": ""administrative"", ""objectid"": 3653, ""DANE:area"": 242.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1408, ""DANE:departamento"": 44, ""elongation_factor"": 1.49, ""shares_border_with"": [""CO-LAG-SanJuanCesar"", ""CO-LAG-Villanueva"", ""VE-V-JesusEnriqueLossada""], ""sys_housenumbering"": ""street-metric""}"
1314679,170,44279,Fonseca,LAG,,1441074,fonseca,CO-LAG-Fonseca,,"{""codane"": 44279, ""area_sr"": 0.03933, ""area_km2"": 476, ""boundary"": ""administrative"", ""objectid"": 3657, ""DANE:area"": 487.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 21.8, ""side_estim_deg"": 0.1983, ""DANE:departamento"": 44, ""elongation_factor"": 2.33, ""shares_border_with"": [""CO-LAG-Barrancas"", ""CO-LAG-Distraccion"", ""CO-LAG-Riohacha"", ""CO-LAG-SanJuanCesar"", ""VE-V-JesusEnriqueLossada"", ""VE-V-Mara""], ""sys_housenumbering"": ""street-metric""}"
1314686,170,44378,"Hato Nuevo",LAG,,,hato.nuevo,CO-LAG-HatoNuevo,,"{""area_sr"": 0.01778, ""area_km2"": 215, ""boundary"": ""administrative"", ""objectid"": 3659, ""DANE:area"": 249.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 14.7, ""side_estim_deg"": 0.1334, ""DANE:departamento"": 44, ""elongation_factor"": 3.16, ""shares_border_with"": [""CO-LAG-Albania"", ""CO-LAG-Barrancas"", ""CO-LAG-Riohacha"", ""VE-V-IndigenaGuajira""], ""sys_housenumbering"": ""street-metric""}"
1314684,170,44420,"La Jagua del Pilar",LAG,,,la.jagua.pilar,CO-LAG-LaJaguaPilar,,"{""area_sr"": 0.01476, ""area_km2"": 179, ""boundary"": ""administrative"", ""objectid"": 3656, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 13.4, ""side_estim_deg"": 0.1215, ""DANE:departamento"": 44, ""elongation_factor"": 2.96, ""shares_border_with"": [""CO-CES-LaPaz"", ""CO-CES-ManaureBalconCesar"", ""CO-CES-Valledupar"", ""CO-LAG-Urumita"", ""VE-V-JesusEnriqueLossada""], ""sys_housenumbering"": ""street-metric""}"
1314675,170,44430,Maicao,LAG,,,maicao,CO-LAG-Maicao,,"{""area_sr"": 0.14632, ""area_km2"": 1767, ""boundary"": ""administrative"", ""objectid"": 3661, ""DANE:area"": 1789.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 42, ""side_estim_deg"": 0.3825, ""DANE:departamento"": 44, ""elongation_factor"": 2.51, ""shares_border_with"": [""CO-LAG-Albania"", ""CO-LAG-Manaure"", ""CO-LAG-Riohacha"", ""CO-LAG-Uribia"", ""VE-V-IndigenaGuajira""], ""sys_housenumbering"": ""street-metric""}"
1314680,170,44560,Manaure,LAG,,,manaure,CO-LAG-Manaure,,"{""area_sr"": 0.1347, ""area_km2"": 1625, ""boundary"": ""administrative"", ""objectid"": 3663, ""DANE:area"": 1643.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""La Guajira"", ""side_estim_km"": 40.3, ""side_estim_deg"": 0.367, ""DANE:departamento"": 44, ""elongation_factor"": 1.73, ""shares_border_with"": [""CO-LAG-Maicao"", ""CO-LAG-Riohacha"", ""CO-LAG-Uribia""], ""sys_housenumbering"": ""street-metric""}"
