osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1314685,170,47030,Algarrobo,MAG,,,algarrobo,CO-MAG-Algarrobo,,"{""area_sr"": 0.03355, ""area_km2"": 407, ""boundary"": ""administrative"", ""objectid"": 3669, ""DANE:area"": 409.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1832, ""DANE:departamento"": 47, ""elongation_factor"": 2.21, ""shares_border_with"": [""CO-CES-ElCopey"", ""CO-MAG-Fundacion"", ""CO-MAG-SabanasSanAngel""], ""sys_housenumbering"": ""street-metric""}"
11890329,170,47053,Aracataca,MAG,,624492,aracataca,CO-MAG-Aracataca,,"{""area_sr"": 0.14432, ""website"": ""www.aracataca-magdalena.gov.co"", ""area_km2"": 1747, ""boundary"": ""administrative"", ""DANE:area"": 464.7, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Aracataca"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 41.8, ""side_estim_deg"": 0.3799, ""DANE:departamento"": 47, ""elongation_factor"": 2.31, ""shares_border_with"": [""CO-CES-PuebloBello"", ""CO-CES-Valledupar"", ""CO-MAG-Cienaga"", ""CO-MAG-ElReten"", ""CO-MAG-Fundacion"", ""CO-MAG-Puebloviejo"", ""CO-MAG-SantaMarta"", ""CO-MAG-ZonaBananera""], ""sys_housenumbering"": ""street-metric""}"
1423456,170,47058,Ariguaní,MAG,,1392520,ariguani,CO-MAG-Ariguani,,"{""area_sr"": 0.09358, ""area_km2"": 1135, ""boundary"": ""administrative"", ""objectid"": 4255, ""DANE:area"": 1109.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Ariguaní (El Difícil)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 33.7, ""side_estim_deg"": 0.3059, ""DANE:departamento"": 47, ""elongation_factor"": 1.81, ""shares_border_with"": [""CO-CES-Bosconia"", ""CO-CES-ElPaso"", ""CO-MAG-NuevaGranada"", ""CO-MAG-SabanasSanAngel"", ""CO-MAG-SantaAna""], ""sys_housenumbering"": ""street-metric""}"
1350670,170,47161,"Cerro de San Antonio",MAG,,1575697,cerro.san.antonio,CO-MAG-CerroSanAntonio,,"{""area_sr"": 0.01403, ""area_km2"": 170, ""boundary"": ""administrative"", ""objectid"": 4435, ""DANE:area"": 184.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Cerro de San Antonio (Magdalena)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 13, ""side_estim_deg"": 0.1184, ""DANE:departamento"": 47, ""elongation_factor"": 1.96, ""shares_border_with"": [""CO-ATL-CampoLaCruz"", ""CO-ATL-Suan"", ""CO-BOL-Calamar"", ""CO-MAG-Concordia"", ""CO-MAG-ElPinon"", ""CO-MAG-Pedraza"", ""CO-MAG-Zapayan""], ""sys_housenumbering"": ""street-metric""}"
1423492,170,47170,Chibolo,MAG,,1525439,chibolo,CO-MAG-Chibolo,,"{""area_sr"": 0.04448, ""alt_name"": ""Chivolo"", ""area_km2"": 539, ""boundary"": ""administrative"", ""objectid"": 4257, ""DANE:area"": 2516, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Chibolo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2109, ""DANE:departamento"": 47, ""elongation_factor"": 1.73, ""shares_border_with"": [""CO-MAG-ElPinon"", ""CO-MAG-Pivijay"", ""CO-MAG-Plato"", ""CO-MAG-SabanasSanAngel"", ""CO-MAG-Tenerife"", ""CO-MAG-Zapayan""], ""sys_housenumbering"": ""street-metric""}"
1314682,170,47189,Ciénaga,MAG,,1092797,cienaga,CO-MAG-Cienaga,,"{""area_sr"": 0.10949, ""area_km2"": 1324, ""boundary"": ""administrative"", ""objectid"": 3666, ""DANE:area"": 1366.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 36.4, ""side_estim_deg"": 0.3309, ""DANE:departamento"": 47, ""elongation_factor"": 2.62, ""shares_border_with"": [""CO-MAG-Aracataca"", ""CO-MAG-Puebloviejo"", ""CO-MAG-SantaMarta"", ""CO-MAG-ZonaBananera""], ""sys_housenumbering"": ""street-metric""}"
1350672,170,47205,Concordia,MAG,,,concordia,CO-MAG-Concordia,,"{""area_sr"": 0.00917, ""area_km2"": 111, ""boundary"": ""administrative"", ""objectid"": 4434, ""DANE:area"": 111.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 10.5, ""side_estim_deg"": 0.0958, ""DANE:departamento"": 47, ""elongation_factor"": 1.94, ""shares_border_with"": [""CO-MAG-CerroSanAntonio"", ""CO-MAG-Pedraza"", ""CO-MAG-Zapayan""], ""sys_housenumbering"": ""street-metric""}"
1423513,170,47245,"El Banco",MAG,,2330760,el.banco,CO-MAG-ElBanco,,"{""area_sr"": 0.06846, ""area_km2"": 832, ""boundary"": ""administrative"", ""objectid"": 4267, ""DANE:area"": 816.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:El Banco"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 28.9, ""side_estim_deg"": 0.2617, ""DANE:departamento"": 47, ""elongation_factor"": 2.31, ""shares_border_with"": [""CO-BOL-ElPenon"", ""CO-BOL-HatilloLoba"", ""CO-BOL-Margarita"", ""CO-CES-Chimichagua"", ""CO-CES-Tamalameque"", ""CO-MAG-Guamal""], ""sys_housenumbering"": ""street-metric""}"
1423457,170,47258,"El Piñón",MAG,,614970,el.pinon,CO-MAG-ElPinon,,"{""area_sr"": 0.0451, ""area_km2"": 546, ""boundary"": ""administrative"", ""objectid"": 4269, ""DANE:area"": 544.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:El Piñón"", ""entidad_te"": ""Cabecera Municipal"", ""population"": 16752, ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 23.4, ""side_estim_deg"": 0.2124, ""DANE:departamento"": 47, ""elongation_factor"": 1.67, ""shares_border_with"": [""CO-ATL-CampoLaCruz"", ""CO-MAG-CerroSanAntonio"", ""CO-MAG-Chibolo"", ""CO-MAG-Pivijay"", ""CO-MAG-Salamina"", ""CO-MAG-Zapayan""], ""sys_housenumbering"": ""street-metric""}"
11890330,170,47268,"El Retén",MAG,,547081,el.reten,CO-MAG-ElReten,,"{""area_sr"": 0.02151, ""area_km2"": 260, ""boundary"": ""administrative"", ""DANE:area"": 251, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:El Retén"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Magdalena"", ""side_estim_km"": 16.1, ""side_estim_deg"": 0.1467, ""DANE:departamento"": 47, ""elongation_factor"": 2.35, ""shares_border_with"": [""CO-MAG-Aracataca"", ""CO-MAG-Fundacion"", ""CO-MAG-Pivijay"", ""CO-MAG-Puebloviejo"", ""CO-MAG-Remolino"", ""CO-MAG-Sitionuevo""], ""sys_housenumbering"": ""street-metric""}"
