osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1438579,170,50006,Acacías,MET,,2429780,acacias,CO-MET-Acacias,,"{""area_sr"": 0.0917, ""area_km2"": 1126, ""boundary"": ""administrative"", ""objectid"": 4241, ""DANE:area"": 1149.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Acacías"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 33.6, ""side_estim_deg"": 0.3028, ""DANE:departamento"": 50, ""elongation_factor"": 2.31, ""shares_border_with"": [""CO-CUN-Guayabetal"", ""CO-CUN-Gutierrez"", ""CO-MET-CastillaNueva"", ""CO-MET-Guamal"", ""CO-MET-SanCarlosGuaroa"", ""CO-MET-Villavicencio""], ""sys_housenumbering"": ""street-metric""}"
11371088,170,50110,"Barranca de Upía",MET,,1654757,barranca.upia,CO-MET-BarrancaUpia,,"{""area_sr"": 0.03339, ""website"": ""www.barrancadeupia-meta.gov.co"", ""area_km2"": 410, ""boundary"": ""administrative"", ""DANE:area"": 815, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Barranca de Upía"", ""entidad_te"": ""Cabecera Municipal"", ""population"": 3926, ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1827, ""DANE:departamento"": 50, ""elongation_factor"": 2.73, ""shares_border_with"": [""CO-CAS-Sabanalarga"", ""CO-CAS-Villanueva"", ""CO-CUN-Paratebueno"", ""CO-MET-Cabuyaro""], ""sys_housenumbering"": ""street-metric""}"
11371494,170,50124,Cabuyaro,MET,,517693,cabuyaro,CO-MET-Cabuyaro,,"{""area_sr"": 0.07389, ""website"": ""www.cabuyaro-meta.gov.co"", ""area_km2"": 907, ""boundary"": ""administrative"", ""DANE:area"": 880, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cabuyaro"", ""entidad_te"": ""Cabecera Municipal"", ""population"": 4018, ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 30.1, ""side_estim_deg"": 0.2718, ""DANE:departamento"": 50, ""elongation_factor"": 2.44, ""shares_border_with"": [""CO-CAS-Villanueva"", ""CO-CUN-Paratebueno"", ""CO-MET-BarrancaUpia"", ""CO-MET-Cumaral"", ""CO-MET-PuertoLopez""], ""sys_housenumbering"": ""street-metric""}"
11375320,170,50150,"Castilla La Nueva",MET,,1577876,castilla.nueva,CO-MET-CastillaNueva,,"{""ele"": 350, ""temp"": ""26°"", ""area_sr"": 0.04151, ""website"": ""www.castillalanueva-meta.gov.co"", ""area_km2"": 510, ""boundary"": ""administrative"", ""DANE:area"": 507.28, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Castilla La Nueva"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 22.6, ""side_estim_deg"": 0.2037, ""DANE:departamento"": 50, ""elongation_factor"": 2.07, ""shares_border_with"": [""CO-MET-Acacias"", ""CO-MET-Guamal"", ""CO-MET-SanCarlosGuaroa"", ""CO-MET-SanMartin""], ""sys_housenumbering"": ""street-metric""}"
11375373,170,50223,Cubarral,MET,,1655116,cubarral,CO-MET-Cubarral,,"{""ele"": 535, ""temp"": ""27°"", ""area_sr"": 0.09403, ""website"": ""www.cubarral-meta.gov.co"", ""area_km2"": 1155, ""boundary"": ""administrative"", ""DANE:area"": 1308, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cubarral"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 34, ""side_estim_deg"": 0.3067, ""DANE:departamento"": 50, ""elongation_factor"": 2.52, ""shares_border_with"": [""CO-DC-Bogota"", ""CO-MET-ElCastillo"", ""CO-MET-ElDorado"", ""CO-MET-Guamal"", ""CO-MET-Lejanias"", ""CO-MET-SanMartin"", ""CO-MET-Uribe""], ""sys_housenumbering"": ""street-metric""}"
11371698,170,50226,Cumaral,MET,,1525841,cumaral,CO-MET-Cumaral,,"{""area_sr"": 0.05127, ""website"": ""www.cumaral-meta.gov.co"", ""area_km2"": 629, ""boundary"": ""administrative"", ""DANE:area"": 618.62, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cumaral"", ""entidad_te"": ""Cabecera Municipal"", ""population"": 18020, ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2264, ""DANE:departamento"": 50, ""elongation_factor"": 2.78, ""shares_border_with"": [""CO-CUN-Medina"", ""CO-CUN-Paratebueno"", ""CO-MET-Cabuyaro"", ""CO-MET-PuertoLopez"", ""CO-MET-Restrepo""], ""sys_housenumbering"": ""street-metric""}"
1350646,170,50245,"El Calvario",MET,,1655089,el.calvario,CO-MET-ElCalvario,,"{""area_sr"": 0.02237, ""area_km2"": 275, ""boundary"": ""administrative"", ""objectid"": 4432, ""DANE:area"": 286.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Calvario (Meta)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1496, ""DANE:departamento"": 50, ""elongation_factor"": 1.68, ""shares_border_with"": [""CO-CUN-Fomeque"", ""CO-CUN-Guayabetal"", ""CO-CUN-Quetame"", ""CO-MET-Restrepo"", ""CO-MET-SanJuanito"", ""CO-MET-Villavicencio""], ""sys_housenumbering"": ""street-metric""}"
1438573,170,50251,"El Castillo",MET,,1577456,el.castillo,CO-MET-ElCastillo,,"{""area_sr"": 0.04659, ""area_km2"": 572, ""boundary"": ""administrative"", ""objectid"": 4244, ""DANE:area"": 573.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Castillo (Meta)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 23.9, ""side_estim_deg"": 0.2158, ""DANE:departamento"": 50, ""elongation_factor"": 1.64, ""shares_border_with"": [""CO-MET-Cubarral"", ""CO-MET-ElDorado"", ""CO-MET-Granada"", ""CO-MET-Lejanias"", ""CO-MET-SanMartin""], ""sys_housenumbering"": ""street-metric""}"
1438583,170,50270,"El Dorado",MET,,1656681,el.dorado,CO-MET-ElDorado,,"{""area_sr"": 0.00958, ""area_km2"": 118, ""boundary"": ""administrative"", ""objectid"": 4245, ""DANE:area"": 117.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Dorado (Meta)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 10.8, ""side_estim_deg"": 0.0979, ""DANE:departamento"": 50, ""elongation_factor"": 1.18, ""shares_border_with"": [""CO-MET-Cubarral"", ""CO-MET-ElCastillo"", ""CO-MET-SanMartin""], ""sys_housenumbering"": ""street-metric""}"
11375481,170,50287,"Fuente de Oro",MET,,1576131,fuente.oro,CO-MET-FuenteOro,,"{""ele"": 359, ""temp"": ""26°"", ""area_sr"": 0.04648, ""website"": ""www.fuentedeoro-meta.gov.co"", ""area_km2"": 571, ""boundary"": ""administrative"", ""DANE:area"": 628.79, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Fuente de Oro"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Meta"", ""side_estim_km"": 23.9, ""side_estim_deg"": 0.2156, ""DANE:departamento"": 50, ""elongation_factor"": 2.35, ""shares_border_with"": [""CO-MET-Granada"", ""CO-MET-PuertoLleras"", ""CO-MET-SanJuanArama"", ""CO-MET-SanMartin""], ""sys_housenumbering"": ""street-metric""}"
