osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1309983,170,52019,Albán,NAR,,,alban,CO-NAR-Alban,,"{""area_sr"": 0.00333, ""area_km2"": 41, ""boundary"": ""administrative"", ""objectid"": 3995, ""DANE:area"": 83.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 6.4, ""side_estim_deg"": 0.0577, ""DANE:departamento"": 52, ""elongation_factor"": 2.05, ""shares_border_with"": [""CO-NAR-Arboleda"", ""CO-NAR-Buesaco"", ""CO-NAR-ElTablonGomez"", ""CO-NAR-SanBernardo"", ""CO-NAR-SanPedroCartago""], ""sys_housenumbering"": ""street-metric""}"
11333702,170,52022,Aldana,NAR,,648948,aldana,CO-NAR-Aldana,,"{""area_sr"": 0.00379, ""website"": ""www.aldana-narino.gov.co"", ""area_km2"": 47, ""boundary"": ""administrative"", ""DANE:area"": 52, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aldana"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 6.8, ""side_estim_deg"": 0.0616, ""DANE:departamento"": 52, ""elongation_factor"": 2.76, ""shares_border_with"": [""CO-NAR-Cuaspud"", ""CO-NAR-Guachucal"", ""CO-NAR-Ipiales"", ""CO-NAR-Pupiales""], ""sys_housenumbering"": ""street-metric""}"
11323982,170,52036,Ancuya,NAR,,1575668,ancuya,CO-NAR-Ancuya,,"{""area_sr"": 0.00558, ""website"": ""www.ancuya-narino.gov.co"", ""area_km2"": 69, ""boundary"": ""administrative"", ""DANE:area"": 34, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Ancuya"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 8.3, ""side_estim_deg"": 0.0747, ""DANE:departamento"": 52, ""elongation_factor"": 1.7, ""shares_border_with"": [""CO-NAR-Consaca"", ""CO-NAR-Guaitarilla"", ""CO-NAR-Linares"", ""CO-NAR-Providencia"", ""CO-NAR-Samaniego"", ""CO-NAR-Sandona""], ""sys_housenumbering"": ""street-metric""}"
1309987,170,52051,Arboleda,NAR,,,arboleda,CO-NAR-Arboleda,,"{""area_sr"": 0.00484, ""area_km2"": 60, ""boundary"": ""administrative"", ""objectid"": 3987, ""DANE:area"": 63.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 7.7, ""side_estim_deg"": 0.0696, ""DANE:departamento"": 52, ""elongation_factor"": 1.49, ""shares_border_with"": [""CO-NAR-Alban"", ""CO-NAR-Buesaco"", ""CO-NAR-SanLorenzo"", ""CO-NAR-SanPedroCartago""], ""sys_housenumbering"": ""street-metric""}"
1311762,170,52079,Barbacoas,NAR,,1883260,barbacoas,CO-NAR-Barbacoas,,"{""area_sr"": 0.22112, ""area_km2"": 2721, ""boundary"": ""administrative"", ""objectid"": 3401, ""DANE:area"": 1877.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Barbacoas (Nariño)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 52.2, ""side_estim_deg"": 0.4702, ""DANE:departamento"": 52, ""elongation_factor"": 2.64, ""shares_border_with"": [""CO-NAR-LaLlanada"", ""CO-NAR-LosAndesSotomayor"", ""CO-NAR-MaguiPayan"", ""CO-NAR-Ricaurte"", ""CO-NAR-RobertoPayan"", ""CO-NAR-Samaniego"", ""CO-NAR-Tumaco"", ""EC-C-Tulcan""], ""sys_housenumbering"": ""street-metric""}"
1309986,170,52083,Belén,NAR,,,belen,CO-NAR-Belen,,"{""area_sr"": 0.00346, ""area_km2"": 43, ""boundary"": ""administrative"", ""objectid"": 3993, ""DANE:area"": 48.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 6.5, ""side_estim_deg"": 0.0588, ""DANE:departamento"": 52, ""elongation_factor"": 2.14, ""shares_border_with"": [""CO-NAR-Colon"", ""CO-NAR-LaCruz"", ""CO-NAR-LaUnion"", ""CO-NAR-SanBernardo""], ""sys_housenumbering"": ""street-metric""}"
1454259,170,52110,Buesaco,NAR,,1441100,buesaco,CO-NAR-Buesaco,,"{""area_sr"": 0.04175, ""area_km2"": 514, ""boundary"": ""administrative"", ""objectid"": 3996, ""DANE:area"": 682.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Buesaco"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2043, ""DANE:departamento"": 52, ""elongation_factor"": 1.15, ""shares_border_with"": [""CO-NAR-Alban"", ""CO-NAR-Arboleda"", ""CO-NAR-Chachagui"", ""CO-NAR-ElTablonGomez"", ""CO-NAR-Pasto"", ""CO-NAR-SanLorenzo"", ""CO-PUT-Colon""], ""sys_housenumbering"": ""street-metric""}"
1455822,170,52240,Chachagüí,NAR,,775003,chachagui,CO-NAR-Chachagui,,"{""area_sr"": 0.01188, ""area_km2"": 146, ""boundary"": ""administrative"", ""objectid"": 3997, ""DANE:area"": 148.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Chachagüí"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 12.1, ""side_estim_deg"": 0.109, ""DANE:departamento"": 52, ""elongation_factor"": 2.3, ""shares_border_with"": [""CO-NAR-Buesaco"", ""CO-NAR-ElTambo"", ""CO-NAR-LaFlorida"", ""CO-NAR-Narino"", ""CO-NAR-Pasto"", ""CO-NAR-SanLorenzo"", ""CO-NAR-Taminango""], ""sys_housenumbering"": ""street-metric""}"
1309989,170,52203,Colón,NAR,,,colon,CO-NAR-Colon,,"{""area_sr"": 0.00494, ""area_km2"": 61, ""boundary"": ""administrative"", ""objectid"": 3990, ""DANE:area"": 63.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 7.8, ""side_estim_deg"": 0.0703, ""DANE:departamento"": 52, ""elongation_factor"": 2.12, ""shares_border_with"": [""CO-NAR-Belen"", ""CO-NAR-LaCruz"", ""CO-NAR-LaUnion"", ""CO-NAR-SanPablo""], ""sys_housenumbering"": ""street-metric""}"
1311677,170,52207,Consacá,NAR,,,consaca,CO-NAR-Consaca,,"{""area_sr"": 0.00959, ""area_km2"": 118, ""boundary"": ""administrative"", ""objectid"": 3406, ""DANE:area"": 132.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Consacá"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Nariño"", ""side_estim_km"": 10.9, ""side_estim_deg"": 0.0979, ""DANE:departamento"": 52, ""elongation_factor"": 1.54, ""shares_border_with"": [""CO-NAR-Ancuya"", ""CO-NAR-Guaitarilla"", ""CO-NAR-LaFlorida"", ""CO-NAR-Narino"", ""CO-NAR-Pasto"", ""CO-NAR-Sandona"", ""CO-NAR-Tangua"", ""CO-NAR-Yacuanquer""], ""sys_housenumbering"": ""street-metric""}"
