osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1423499,170,54003,Abrego,NSA,,2429591,abrego,CO-NSA-Abrego,,"{""area_sr"": 0.11338, ""area_km2"": 1382, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 37.2, ""side_estim_deg"": 0.3367, ""elongation_factor"": 2.13, ""shares_border_with"": [""CO-CES-SanAlberto"", ""CO-CES-SanMartin"", ""CO-NSA-Bucarasica"", ""CO-NSA-Cachira"", ""CO-NSA-Hacari"", ""CO-NSA-LaEsperanza"", ""CO-NSA-LaPlayaBelen"", ""CO-NSA-Ocana"", ""CO-NSA-Sardinata"", ""CO-NSA-VillaCaro""]}"
1343244,170,54051,Arboledas,NSA,,1574827,arboledas,CO-NSA-Arboledas,,"{""area_sr"": 0.03755, ""area_km2"": 458, ""boundary"": ""administrative"", ""objectid"": 4443, ""DANE:area"": 449.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Arboledas (Norte de Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""side_estim_km"": 21.4, ""side_estim_deg"": 0.1938, ""DANE:departamento"": 54, ""elongation_factor"": 2.12, ""shares_border_with"": [""CO-NSA-Bochalema"", ""CO-NSA-Cachira"", ""CO-NSA-Cucutilla"", ""CO-NSA-Durania"", ""CO-NSA-Salazar"", ""CO-SAN-Surata""], ""sys_housenumbering"": ""street-metric""}"
1343653,170,54099,Bochalema,NSA,,1575422,bochalema,CO-NSA-Bochalema,,"{""area_sr"": 0.01438, ""area_km2"": 176, ""boundary"": ""administrative"", ""objectid"": 4444, ""DANE:area"": 171.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Bochalema"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""wikipedia:en"": ""Bochalema"", ""side_estim_km"": 13.2, ""side_estim_deg"": 0.1199, ""DANE:departamento"": 54, ""elongation_factor"": 2.41, ""shares_border_with"": [""CO-NSA-Arboledas"", ""CO-NSA-Chinacota"", ""CO-NSA-Cucuta"", ""CO-NSA-Cucutilla"", ""CO-NSA-Durania"", ""CO-NSA-LosPatios"", ""CO-NSA-Pamplonita"", ""CO-NSA-SanCayetano""], ""sys_housenumbering"": ""street-metric""}"
11910119,170,54109,Bucarasica,NSA,,1655530,bucarasica,CO-NSA-Bucarasica,,"{""area_sr"": 0.02218, ""website"": ""www.bucarasica-nortedesantander.gov.co"", ""DANE:d54"": 54, ""area_km2"": 270, ""boundary"": ""administrative"", ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Bucarasica"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""side_estim_km"": 16.4, ""side_estim_deg"": 0.1489, ""elongation_factor"": 1.83, ""shares_border_with"": [""CO-NSA-Abrego"", ""CO-NSA-Lourdes"", ""CO-NSA-Sardinata"", ""CO-NSA-VillaCaro""], ""sys_housenumbering"": ""street-metric""}"
1423488,170,54172,Chinácota,NSA,,1526150,chinacota,CO-NSA-Chinacota,,"{""area_sr"": 0.01366, ""area_km2"": 167, ""boundary"": ""administrative"", ""objectid"": 4290, ""DANE:area"": 187.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Chinácota"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1169, ""DANE:departamento"": 54, ""elongation_factor"": 2.41, ""shares_border_with"": [""CO-NSA-Bochalema"", ""CO-NSA-Herran"", ""CO-NSA-LosPatios"", ""CO-NSA-Pamplonita"", ""CO-NSA-Ragonvalia"", ""CO-NSA-Toledo""], ""sys_housenumbering"": ""street-metric""}"
1423503,170,54174,Chitagá,NSA,,1576762,chitaga,CO-NSA-Chitaga,,"{""area_sr"": 0.09697, ""area_km2"": 1185, ""boundary"": ""administrative"", ""objectid"": 4294, ""DANE:area"": 1172.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Chitagá"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""side_estim_km"": 34.4, ""side_estim_deg"": 0.3114, ""DANE:departamento"": 54, ""elongation_factor"": 2.05, ""shares_border_with"": [""CO-BOY-Cubara"", ""CO-NSA-Cacota"", ""CO-NSA-Labateca"", ""CO-NSA-Pamplona"", ""CO-NSA-Silos"", ""CO-NSA-Toledo"", ""CO-SAN-Cerrito"", ""CO-SAN-Concepcion"", ""CO-SAN-Guaca""], ""sys_housenumbering"": ""street-metric""}"
11892166,170,54206,Convención,NSA,,1525332,convencion,CO-NSA-Convencion,,"{""ele"": 1076, ""area_sr"": 0.07714, ""website"": ""www.convencion-nortedesantander.gov.co"", ""area_km2"": 939, ""boundary"": ""administrative"", ""DANE:area"": 829, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Convención"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""side_estim_km"": 30.6, ""side_estim_deg"": 0.2777, ""DANE:departamento"": 54, ""elongation_factor"": 4.17, ""shares_border_with"": [""CO-CES-Gonzalez"", ""CO-NSA-ElCarmen"", ""CO-NSA-Ocana"", ""CO-NSA-Teorama"", ""VE-V-JesusMariaSemprum""], ""sys_housenumbering"": ""street-metric""}"
1423464,170,54223,Cucutilla,NSA,,515211,cucutilla,CO-NSA-Cucutilla,,"{""area_sr"": 0.03025, ""area_km2"": 369, ""boundary"": ""administrative"", ""objectid"": 4291, ""DANE:area"": 367.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:Cucutilla"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""side_estim_km"": 19.2, ""side_estim_deg"": 0.1739, ""DANE:departamento"": 54, ""elongation_factor"": 1.63, ""shares_border_with"": [""CO-NSA-Arboledas"", ""CO-NSA-Bochalema"", ""CO-NSA-Mutiscua"", ""CO-NSA-Pamplona"", ""CO-NSA-Pamplonita"", ""CO-SAN-Surata"", ""CO-SAN-Vetas""], ""sys_housenumbering"": ""street-metric""}"
11893921,170,54128,Cáchira,NSA,,1575962,cachira,CO-NSA-Cachira,,"{""area_sr"": 0.05053, ""area_km2"": 616, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 24.8, ""side_estim_deg"": 0.2248, ""elongation_factor"": 2.67, ""shares_border_with"": [""CO-NSA-Abrego"", ""CO-NSA-Arboledas"", ""CO-NSA-LaEsperanza"", ""CO-NSA-Salazar"", ""CO-NSA-VillaCaro"", ""CO-SAN-ElPlayon"", ""CO-SAN-Rionegro"", ""CO-SAN-Surata""]}"
1343400,170,54125,Cácota,NSA,,1655073,cacota,CO-NSA-Cacota,,"{""area_sr"": 0.01143, ""area_km2"": 140, ""boundary"": ""administrative"", ""objectid"": 4446, ""DANE:area"": 135.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cácota"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Norte de Santander"", ""wikipedia:en"": ""Cácota"", ""side_estim_km"": 11.8, ""side_estim_deg"": 0.1069, ""DANE:departamento"": 54, ""elongation_factor"": 1.63, ""shares_border_with"": [""CO-NSA-Chitaga"", ""CO-NSA-Mutiscua"", ""CO-NSA-Pamplona"", ""CO-NSA-Silos""], ""sys_housenumbering"": ""street-metric""}"
