osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1456122,170,86219,Colón,PUT,,1962031,colon,CO-PUT-Colon,,"{""area_sr"": 0.0152, ""area_km2"": 187, ""boundary"": ""administrative"", ""objectid"": 4006, ""DANE:area"": 77.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Colón (Putumayo)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 13.7, ""side_estim_deg"": 0.1233, ""DANE:departamento"": 86, ""elongation_factor"": 1.75, ""shares_border_with"": [""CO-NAR-Buesaco"", ""CO-NAR-ElTablonGomez"", ""CO-NAR-Pasto"", ""CO-PUT-Santiago"", ""CO-PUT-Sibundoy""], ""sys_housenumbering"": ""street-metric""}"
1342133,170,86001,Mocoa,PUT,,579803,mocoa,CO-PUT-Mocoa,,"{""area_sr"": 0.10779, ""area_km2"": 1326, ""boundary"": ""administrative"", ""objectid"": 3413, ""DANE:area"": 1030.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Mocoa"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 36.4, ""side_estim_deg"": 0.3283, ""elongation_factor"": 2.59, ""shares_border_with"": [""CO-CAU-Piamonte"", ""CO-CAU-SantaRosa"", ""CO-NAR-ElTablonGomez"", ""CO-PUT-PuertoCaicedo"", ""CO-PUT-PuertoGuzman"", ""CO-PUT-SanFrancisco"", ""CO-PUT-Sibundoy"", ""CO-PUT-Villagarzon""], ""sys_housenumbering"": ""street-metric""}"
1311752,170,86320,Orito,PUT,,12981826,orito,CO-PUT-Orito,,"{""area_sr"": 0.15597, ""area_km2"": 1920, ""boundary"": ""administrative"", ""objectid"": 3411, ""DANE:area"": 2026.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Orito (Putumayo)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 43.8, ""side_estim_deg"": 0.3949, ""elongation_factor"": 1.76, ""shares_border_with"": [""CO-NAR-Cordoba"", ""CO-NAR-Funes"", ""CO-NAR-Ipiales"", ""CO-NAR-Pasto"", ""CO-NAR-Puerres"", ""CO-PUT-PuertoAsis"", ""CO-PUT-PuertoCaicedo"", ""CO-PUT-ValleGuamuez"", ""CO-PUT-Villagarzon""], ""sys_housenumbering"": ""street-metric""}"
1342118,170,86568,"Puerto Asís",PUT,,1018571,puerto.asis,CO-PUT-PuertoAsis,,"{""area_sr"": 0.22796, ""area_km2"": 2806, ""boundary"": ""administrative"", ""objectid"": 3414, ""DANE:area"": 2610.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Puerto Asís"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 53, ""side_estim_deg"": 0.4775, ""elongation_factor"": 2.33, ""shares_border_with"": [""CO-PUT-Orito"", ""CO-PUT-PuertoCaicedo"", ""CO-PUT-PuertoGuzman"", ""CO-PUT-PuertoLeguizamo"", ""CO-PUT-SanMiguel"", ""CO-PUT-ValleGuamuez"", ""EC-U-LagoAgrio"", ""EC-U-Putumayo""], ""sys_housenumbering"": ""street-metric""}"
1342114,170,86569,"Puerto Caicedo",PUT,,282117,puerto.caicedo,CO-PUT-PuertoCaicedo,,"{""area_sr"": 0.07558, ""area_km2"": 930, ""boundary"": ""administrative"", ""objectid"": 3415, ""DANE:area"": 846.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Puerto Caicedo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 30.5, ""side_estim_deg"": 0.2749, ""elongation_factor"": 1.88, ""shares_border_with"": [""CO-PUT-Mocoa"", ""CO-PUT-Orito"", ""CO-PUT-PuertoAsis"", ""CO-PUT-PuertoGuzman"", ""CO-PUT-Villagarzon""], ""sys_housenumbering"": ""street-metric""}"
4060568,170,86571,"Puerto Guzmán",PUT,,,puerto.guzman,CO-PUT-PuertoGuzman,,"{""area_sr"": 0.36842, ""area_km2"": 4534, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 67.3, ""side_estim_deg"": 0.607, ""elongation_factor"": 2.28, ""shares_border_with"": [""CO-CAQ-Curillo"", ""CO-CAQ-Solano"", ""CO-CAQ-Solita"", ""CO-CAU-Piamonte"", ""CO-PUT-Mocoa"", ""CO-PUT-PuertoAsis"", ""CO-PUT-PuertoCaicedo"", ""CO-PUT-PuertoLeguizamo""]}"
1342125,170,86573,"Puerto Leguízamo",PUT,,1525407,puerto.leguizamo,CO-PUT-PuertoLeguizamo,,"{""area_sr"": 0.87591, ""area_km2"": 10782, ""boundary"": ""administrative"", ""objectid"": 3417, ""DANE:area"": 4340.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Puerto Guzmán"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 103.8, ""side_estim_deg"": 0.9359, ""elongation_factor"": 3.15, ""shares_border_with"": [""CO-AMA-PuertoAlegria"", ""CO-CAQ-Solano"", ""CO-PUT-PuertoAsis"", ""CO-PUT-PuertoGuzman"", ""EC-U-Putumayo"", ""PE-LOR-Putumayo""], ""sys_housenumbering"": ""street-metric""}"
1459999,170,86755,"San Francisco",PUT,,2434062,san.francisco,CO-PUT-SanFrancisco,,"{""area_sr"": 0.03314, ""area_km2"": 408, ""boundary"": ""administrative"", ""objectid"": 4007, ""DANE:area"": 480.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:San Francisco (Putumayo)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 20.2, ""side_estim_deg"": 0.182, ""DANE:departamento"": 86, ""elongation_factor"": 2.11, ""shares_border_with"": [""CO-PUT-Mocoa"", ""CO-PUT-Santiago"", ""CO-PUT-Sibundoy"", ""CO-PUT-Villagarzon""], ""sys_housenumbering"": ""street-metric""}"
1311675,170,86757,"San Miguel",PUT,,1442390,san.miguel,CO-PUT-SanMiguel,,"{""area_sr"": 0.03144, ""area_km2"": 387, ""boundary"": ""administrative"", ""objectid"": 3410, ""DANE:area"": 361.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:San Miguel (Putumayo)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 19.7, ""side_estim_deg"": 0.1773, ""elongation_factor"": 2.79, ""shares_border_with"": [""CO-PUT-PuertoAsis"", ""CO-PUT-ValleGuamuez"", ""EC-U-LagoAgrio""], ""sys_housenumbering"": ""street-metric""}"
1455825,170,86760,Santiago,PUT,,1577803,santiago,CO-PUT-Santiago,,"{""area_sr"": 0.02755, ""area_km2"": 339, ""boundary"": ""administrative"", ""objectid"": 4005, ""DANE:area"": 445.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Santiago (Putumayo)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Putumayo"", ""side_estim_km"": 18.4, ""side_estim_deg"": 0.166, ""DANE:departamento"": 86, ""elongation_factor"": 1.85, ""shares_border_with"": [""CO-NAR-Pasto"", ""CO-PUT-Colon"", ""CO-PUT-SanFrancisco"", ""CO-PUT-Sibundoy"", ""CO-PUT-Villagarzon""], ""sys_housenumbering"": ""street-metric""}"
