osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1343039,170,63001,Armenia,QUI,,328518,armenia,CO-QUI-Armenia,,"{""_ID"": -227218, ""area_sr"": 0.00978, ""area_km2"": 120, ""boundary"": ""administrative"", ""objectid"": 3475, ""DANE:area"": 115.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Armenia (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 11, ""side_estim_deg"": 0.0989, ""elongation_factor"": 3.06, ""shares_border_with"": [""CO-QUI-Calarca"", ""CO-QUI-Circasia"", ""CO-QUI-LaTebaida"", ""CO-QUI-Montenegro"", ""CO-QUI-Salento""], ""sys_housenumbering"": ""street-metric""}"
1347532,170,63111,Buenavista,QUI,,607290,buenavista,CO-QUI-Buenavista,,"{""area_sr"": 0.00305, ""area_km2"": 37, ""boundary"": ""administrative"", ""objectid"": 4393, ""DANE:area"": 39.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Buenavista (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""wikipedia:en"": ""Buenavista,_Quindío"", ""side_estim_km"": 6.1, ""side_estim_deg"": 0.0552, ""DANE:departamento"": 63, ""elongation_factor"": 1.25, ""shares_border_with"": [""CO-QUI-Calarca"", ""CO-QUI-Cordoba"", ""CO-QUI-Pijao""], ""sys_housenumbering"": ""street-metric""}"
1343044,170,63130,Calarcá,QUI,,2240918,calarca,CO-QUI-Calarca,,"{""area_sr"": 0.0179, ""area_km2"": 220, ""boundary"": ""administrative"", ""objectid"": 3476, ""DANE:area"": 208.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Calarcá (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 14.8, ""side_estim_deg"": 0.1338, ""elongation_factor"": 2.71, ""shares_border_with"": [""CO-QUI-Armenia"", ""CO-QUI-Buenavista"", ""CO-QUI-Cordoba"", ""CO-QUI-LaTebaida"", ""CO-QUI-Pijao"", ""CO-QUI-Salento"", ""CO-TOL-Cajamarca"", ""CO-VAC-Caicedonia""], ""sys_housenumbering"": ""street-metric""}"
1343032,170,63190,Circasia,QUI,,958855,circasia,CO-QUI-Circasia,,"{""area_sr"": 0.00803, ""area_km2"": 99, ""boundary"": ""administrative"", ""objectid"": 3474, ""DANE:area"": 123.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Circasia"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0896, ""elongation_factor"": 2.3, ""shares_border_with"": [""CO-QUI-Armenia"", ""CO-QUI-Filandia"", ""CO-QUI-Montenegro"", ""CO-QUI-Quimbaya"", ""CO-QUI-Salento""], ""sys_housenumbering"": ""street-metric""}"
1343025,170,63212,Córdoba,QUI,,1883426,cordoba,CO-QUI-Cordoba,,"{""area_sr"": 0.00767, ""area_km2"": 94, ""boundary"": ""administrative"", ""objectid"": 3477, ""DANE:area"": 90.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Córdoba (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 9.7, ""side_estim_deg"": 0.0876, ""elongation_factor"": 1.68, ""shares_border_with"": [""CO-QUI-Buenavista"", ""CO-QUI-Calarca"", ""CO-QUI-Pijao"", ""CO-TOL-Cajamarca""], ""sys_housenumbering"": ""street-metric""}"
3594131,170,63272,Filandia,QUI,,1525384,filandia,CO-QUI-Filandia,,"{""area_sr"": 0.00778, ""area_km2"": 95, ""boundary"": ""administrative"", ""DANE:area"": 87.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Filandia"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 9.8, ""side_estim_deg"": 0.0882, ""elongation_factor"": 2.79, ""shares_border_with"": [""CO-QUI-Circasia"", ""CO-QUI-Quimbaya"", ""CO-QUI-Salento"", ""CO-RIS-Pereira"", ""CO-VAC-Alcala"", ""CO-VAC-Ulloa""], ""sys_housenumbering"": ""street-metric""}"
1309482,170,63302,Génova,QUI,,968063,genova,CO-QUI-Genova,,"{""area_sr"": 0.02399, ""area_km2"": 295, ""boundary"": ""administrative"", ""objectid"": 4054, ""DANE:area"": 287.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Génova (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 17.2, ""side_estim_deg"": 0.1549, ""DANE:departamento"": 63, ""elongation_factor"": 1.67, ""is_in:country_code"": ""CO"", ""shares_border_with"": [""CO-QUI-Pijao"", ""CO-TOL-Roncesvalles"", ""CO-VAC-Caicedonia"", ""CO-VAC-Sevilla""], ""sys_housenumbering"": ""street-metric""}"
1309477,170,63401,"La Tebaida",QUI,,2432300,la.tebaida,CO-QUI-LaTebaida,,"{""area_sr"": 0.0074, ""area_km2"": 91, ""boundary"": ""administrative"", ""objectid"": 4052, ""DANE:area"": 88.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Tebaida (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 9.5, ""side_estim_deg"": 0.086, ""DANE:departamento"": 63, ""elongation_factor"": 2.43, ""shares_border_with"": [""CO-QUI-Armenia"", ""CO-QUI-Calarca"", ""CO-QUI-Montenegro"", ""CO-VAC-Caicedonia"", ""CO-VAC-LaVictoria"", ""CO-VAC-Sevilla"", ""CO-VAC-Zarzal""], ""sys_housenumbering"": ""street-metric""}"
1309481,170,63470,Montenegro,QUI,,1256403,montenegro,CO-QUI-Montenegro,,"{""area_sr"": 0.01221, ""area_km2"": 150, ""boundary"": ""administrative"", ""objectid"": 4051, ""DANE:area"": 141.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Montenegro (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1105, ""DANE:departamento"": 63, ""elongation_factor"": 2.24, ""shares_border_with"": [""CO-QUI-Armenia"", ""CO-QUI-Circasia"", ""CO-QUI-LaTebaida"", ""CO-QUI-Quimbaya"", ""CO-VAC-LaVictoria"", ""CO-VAC-Obando""], ""sys_housenumbering"": ""street-metric""}"
1309478,170,63548,Pijao,QUI,,636738,pijao,CO-QUI-Pijao,,"{""area_sr"": 0.02068, ""area_km2"": 254, ""boundary"": ""administrative"", ""objectid"": 4053, ""DANE:area"": 238.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Pijao (Quindío)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Quindío"", ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1438, ""DANE:departamento"": 63, ""elongation_factor"": 1.67, ""shares_border_with"": [""CO-QUI-Buenavista"", ""CO-QUI-Calarca"", ""CO-QUI-Cordoba"", ""CO-QUI-Genova"", ""CO-TOL-Cajamarca"", ""CO-TOL-Roncesvalles"", ""CO-VAC-Caicedonia""], ""sys_housenumbering"": ""street-metric""}"
