osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1309480,170,66045,Apía,RIS,,1525318,apia,CO-RIS-Apia,,"{""area_sr"": 0.01207, ""area_km2"": 148, ""boundary"": ""administrative"", ""objectid"": 4057, ""DANE:area"": 175.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Apía"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1099, ""DANE:departamento"": 66, ""elongation_factor"": 2.33, ""shares_border_with"": [""CO-CAL-Viterbo"", ""CO-CHO-SanJosePalmar"", ""CO-RIS-BelenUmbria"", ""CO-RIS-PuebloRico"", ""CO-RIS-Santuario""], ""sys_housenumbering"": ""street-metric""}"
1348334,170,66075,Balboa,RIS,,634563,balboa,CO-RIS-Balboa,,"{""area_sr"": 0.00976, ""area_km2"": 120, ""boundary"": ""administrative"", ""objectid"": 4396, ""DANE:area"": 138.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Balboa (Risaralda)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 10.9, ""side_estim_deg"": 0.0988, ""DANE:departamento"": 66, ""elongation_factor"": 1.43, ""shares_border_with"": [""CO-RIS-LaCelia"", ""CO-RIS-LaVirginia"", ""CO-RIS-Pereira"", ""CO-RIS-Santuario"", ""CO-VAC-Ansermanuevo"", ""CO-VAC-ElAguila""], ""sys_housenumbering"": ""street-metric""}"
4079108,170,66088,"Belén de Umbría",RIS,,,belen.umbria,CO-RIS-BelenUmbria,,"{""area_sr"": 0.0148, ""area_km2"": 181, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.5, ""side_estim_deg"": 0.1216, ""elongation_factor"": 1.26, ""shares_border_with"": [""CO-CAL-Anserma"", ""CO-CAL-Viterbo"", ""CO-RIS-Apia"", ""CO-RIS-Guatica"", ""CO-RIS-Mistrato"", ""CO-RIS-PuebloRico""]}"
1347548,170,66170,Dosquebradas,RIS,,1093584,dosquebradas,CO-RIS-Dosquebradas,,"{""area_sr"": 0.00561, ""area_km2"": 69, ""boundary"": ""administrative"", ""objectid"": 4394, ""DANE:area"": 80.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Dosquebradas"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""wikipedia:en"": ""Dosquebradas"", ""side_estim_km"": 8.3, ""side_estim_deg"": 0.0749, ""DANE:departamento"": 66, ""elongation_factor"": 1.39, ""shares_border_with"": [""CO-RIS-Marsella"", ""CO-RIS-Pereira"", ""CO-RIS-SantaRosaCabal""], ""sys_housenumbering"": ""street-metric""}"
1343023,170,66318,Guática,RIS,,1526252,guatica,CO-RIS-Guatica,,"{""area_sr"": 0.00813, ""area_km2"": 100, ""boundary"": ""administrative"", ""objectid"": 3484, ""DANE:area"": 114.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Guática"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 10, ""side_estim_deg"": 0.0902, ""elongation_factor"": 1.64, ""shares_border_with"": [""CO-CAL-Anserma"", ""CO-CAL-Riosucio"", ""CO-RIS-BelenUmbria"", ""CO-RIS-Mistrato"", ""CO-RIS-Quinchia""], ""sys_housenumbering"": ""street-metric""}"
4079109,170,66383,"La Celia",RIS,,,la.celia,CO-RIS-LaCelia,,"{""area_sr"": 0.00775, ""area_km2"": 95, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 9.7, ""side_estim_deg"": 0.088, ""elongation_factor"": 2.26, ""shares_border_with"": [""CO-CHO-SanJosePalmar"", ""CO-RIS-Balboa"", ""CO-RIS-Santuario"", ""CO-VAC-ElAguila""]}"
1348326,170,66400,"La Virginia",RIS,,2310853,la.virginia,CO-RIS-LaVirginia,,"{""area_sr"": 0.00266, ""area_km2"": 33, ""boundary"": ""administrative"", ""objectid"": 4395, ""DANE:area"": 38.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:La Virginia"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 5.7, ""side_estim_deg"": 0.0516, ""DANE:departamento"": 66, ""elongation_factor"": 1.59, ""shares_border_with"": [""CO-CAL-Belalcazar"", ""CO-RIS-Balboa"", ""CO-RIS-Marsella"", ""CO-RIS-Pereira"", ""CO-RIS-Santuario""], ""sys_housenumbering"": ""street-metric""}"
1309479,170,66440,Marsella,RIS,,1441429,marsella,CO-RIS-Marsella,,"{""area_sr"": 0.01205, ""area_km2"": 148, ""boundary"": ""administrative"", ""objectid"": 4056, ""DANE:area"": 173.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Marsella (Risaralda)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1098, ""DANE:departamento"": 66, ""elongation_factor"": 1.95, ""shares_border_with"": [""CO-CAL-Belalcazar"", ""CO-CAL-Chinchina"", ""CO-RIS-Dosquebradas"", ""CO-RIS-LaVirginia"", ""CO-RIS-Pereira"", ""CO-RIS-SantaRosaCabal""], ""sys_housenumbering"": ""street-metric""}"
1343033,170,66456,Mistrató,RIS,,923166,mistrato,CO-RIS-Mistrato,,"{""area_sr"": 0.04565, ""area_km2"": 559, ""boundary"": ""administrative"", ""objectid"": 3483, ""DANE:area"": 755.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Mistrató"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Risaralda"", ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2137, ""elongation_factor"": 1.63, ""shares_border_with"": [""CO-ANT-Andes"", ""CO-ANT-Jardin"", ""CO-CAL-Riosucio"", ""CO-CHO-Bagado"", ""CO-RIS-BelenUmbria"", ""CO-RIS-Guatica"", ""CO-RIS-PuebloRico""], ""sys_housenumbering"": ""street-metric""}"
1343043,170,66001,Pereira,RIS,,,pereira,CO-RIS-Pereira,,"{""area_sr"": 0.04968, ""area_km2"": 609, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.7, ""side_estim_deg"": 0.2229, ""elongation_factor"": 3.42, ""shares_border_with"": [""CO-QUI-Filandia"", ""CO-QUI-Salento"", ""CO-RIS-Balboa"", ""CO-RIS-Dosquebradas"", ""CO-RIS-LaVirginia"", ""CO-RIS-Marsella"", ""CO-RIS-SantaRosaCabal"", ""CO-TOL-SantaIsabel"", ""CO-VAC-Ansermanuevo"", ""CO-VAC-Cartago"", ""CO-VAC-Ulloa""]}"
