osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1315454,170,68013,Aguada,SAN,,1656766,aguada,CO-SAN-Aguada,,"{""area_sr"": 0.00485, ""area_km2"": 59, ""boundary"": ""administrative"", ""objectid"": 3731, ""DANE:area"": 41.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aguada (Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 7.7, ""side_estim_deg"": 0.0696, ""DANE:departamento"": 68, ""elongation_factor"": 2.19, ""shares_border_with"": [""CO-SAN-ElGuacamayo"", ""CO-SAN-Guadalupe"", ""CO-SAN-LaPaz"", ""CO-SAN-SanBenito""], ""sys_housenumbering"": ""street-metric""}"
1315464,170,68020,Albania,SAN,,1655535,albania,CO-SAN-Albania,,"{""area_sr"": 0.01357, ""area_km2"": 166, ""boundary"": ""administrative"", ""objectid"": 3725, ""DANE:area"": 156.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Albania (Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1165, ""DANE:departamento"": 68, ""elongation_factor"": 2.65, ""shares_border_with"": [""CO-BOY-Briceno"", ""CO-BOY-Saboya"", ""CO-BOY-Tunungua"", ""CO-SAN-Florian"", ""CO-SAN-JesusMaria"", ""CO-SAN-PuenteNacional""], ""sys_housenumbering"": ""street-metric""}"
1315077,170,68051,Aratoca,SAN,,933015,aratoca,CO-SAN-Aratoca,,"{""area_sr"": 0.01391, ""area_km2"": 170, ""boundary"": ""administrative"", ""objectid"": 3715, ""DANE:area"": 170.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Aratoca"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 13, ""side_estim_deg"": 0.1179, ""DANE:departamento"": 68, ""elongation_factor"": 1.94, ""shares_border_with"": [""CO-SAN-Cepita"", ""CO-SAN-Curiti"", ""CO-SAN-Jordan"", ""CO-SAN-LosSantos"", ""CO-SAN-Piedecuesta""], ""sys_housenumbering"": ""street-metric""}"
1315426,170,68077,Barbosa,SAN,,937957,barbosa,CO-SAN-Barbosa,,"{""area_sr"": 0.00387, ""area_km2"": 47, ""boundary"": ""administrative"", ""objectid"": 3747, ""DANE:area"": 57.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Barbosa (Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 6.9, ""side_estim_deg"": 0.0622, ""DANE:departamento"": 68, ""elongation_factor"": 1.12, ""shares_border_with"": [""CO-BOY-Moniquira"", ""CO-BOY-SanJosePare"", ""CO-SAN-Guepsa"", ""CO-SAN-PuenteNacional"", ""CO-SAN-Velez""], ""sys_housenumbering"": ""street-metric""}"
1423516,170,68079,Barichara,SAN,,1576773,barichara,CO-SAN-Barichara,,"{""area_sr"": 0.01091, ""area_km2"": 133, ""boundary"": ""administrative"", ""objectid"": 4321, ""DANE:area"": 134.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Barichara"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 11.6, ""side_estim_deg"": 0.1045, ""DANE:departamento"": 68, ""elongation_factor"": 1.77, ""shares_border_with"": [""CO-SAN-Cabrera"", ""CO-SAN-Galan"", ""CO-SAN-SanGil"", ""CO-SAN-Villanueva"", ""CO-SAN-Zapatoca""], ""sys_housenumbering"": ""street-metric""}"
1315086,170,68081,Barrancabermeja,SAN,,,barrancabermeja,CO-SAN-Barrancabermeja,,"{""area_sr"": 0.10245, ""area_km2"": 1252, ""boundary"": ""administrative"", ""objectid"": 3718, ""DANE:area"": 1274.00, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 35.4, ""side_estim_deg"": 0.3201, ""DANE:departamento"": 68, ""elongation_factor"": 2.94, ""shares_border_with"": [""CO-ANT-Yondo"", ""CO-SAN-Giron"", ""CO-SAN-PuertoParra"", ""CO-SAN-PuertoWilches"", ""CO-SAN-SabanaTorres"", ""CO-SAN-SanVicenteChucuri"", ""CO-SAN-Simacota""], ""sys_housenumbering"": ""street-metric""}"
1343728,170,68092,Betulia,SAN,,2430135,betulia,CO-SAN-Betulia,,"{""area_sr"": 0.03533, ""area_km2"": 432, ""boundary"": ""administrative"", ""objectid"": 4458, ""DANE:area"": 441.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Betulia (Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""wikipedia:en"": ""Betulia,_Santander"", ""side_estim_km"": 20.8, ""side_estim_deg"": 0.188, ""DANE:departamento"": 68, ""elongation_factor"": 2.46, ""shares_border_with"": [""CO-SAN-Giron"", ""CO-SAN-SanVicenteChucuri"", ""CO-SAN-Zapatoca""], ""sys_housenumbering"": ""street-metric""}"
1315085,170,68101,Bolívar,SAN,,2430208,bolivar,CO-SAN-Bolivar,,"{""area_sr"": 0.08097, ""area_km2"": 991, ""boundary"": ""administrative"", ""objectid"": 3720, ""DANE:area"": 1491.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bolívar (Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 31.5, ""side_estim_deg"": 0.2846, ""DANE:departamento"": 68, ""elongation_factor"": 4.93, ""shares_border_with"": [""CO-ANT-PuertoBerrio"", ""CO-BOY-Otanche"", ""CO-BOY-PuertoBoyaca"", ""CO-SAN-Cimitarra"", ""CO-SAN-ElPenon"", ""CO-SAN-Guavata"", ""CO-SAN-LaBelleza"", ""CO-SAN-Landazuri"", ""CO-SAN-Sucre"", ""CO-SAN-Velez""], ""sys_housenumbering"": ""street-metric""}"
1423498,170,68001,Bucaramanga,SAN,,243766,bucaramanga,CO-SAN-Bucaramanga,,"{""area_sr"": 0.01246, ""area_km2"": 152, ""boundary"": ""administrative"", ""objectid"": 4301, ""DANE:area"": 154.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bucaramanga"", ""entidad_te"": ""CAP. DEPTO Distrito Histórico y Cultural"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 12.3, ""side_estim_deg"": 0.1116, ""DANE:departamento"": 68, ""elongation_factor"": 2.02, ""shares_border_with"": [""CO-SAN-Charta"", ""CO-SAN-Floridablanca"", ""CO-SAN-Giron"", ""CO-SAN-Matanza"", ""CO-SAN-Rionegro"", ""CO-SAN-Tona""], ""sys_housenumbering"": ""street-metric""}"
1423495,170,68121,Cabrera,SAN,,942758,cabrera,CO-SAN-Cabrera,,"{""area_sr"": 0.00541, ""area_km2"": 66, ""boundary"": ""administrative"", ""objectid"": 4320, ""DANE:area"": 68.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cabrera (Santander)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Santander"", ""side_estim_km"": 8.1, ""side_estim_deg"": 0.0736, ""DANE:departamento"": 68, ""elongation_factor"": 1.44, ""shares_border_with"": [""CO-SAN-Barichara"", ""CO-SAN-ElSocorro"", ""CO-SAN-Galan"", ""CO-SAN-Palmar"", ""CO-SAN-Pinchote"", ""CO-SAN-SanGil""], ""sys_housenumbering"": ""street-metric""}"
