osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1324941,170,70110,Buenavista,SUC,,,buenavista,CO-SUC-Buenavista,,"{""area_sr"": 0.00994, ""area_km2"": 121, ""boundary"": ""administrative"", ""objectid"": 4183, ""DANE:area"": 124.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 11, ""side_estim_deg"": 0.0997, ""DANE:departamento"": 70, ""elongation_factor"": 3.03, ""shares_border_with"": [""CO-BOL-Cordoba"", ""CO-BOL-Magangue"", ""CO-SUC-Galeras"", ""CO-SUC-SanPedro"", ""CO-SUC-Since""], ""sys_housenumbering"": ""street-metric""}"
1324925,170,70124,Caimito,SUC,,,caimito,CO-SUC-Caimito,,"{""area_sr"": 0.03502, ""area_km2"": 426, ""boundary"": ""administrative"", ""objectid"": 4190, ""DANE:area"": 436.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 20.6, ""side_estim_deg"": 0.1871, ""DANE:departamento"": 70, ""elongation_factor"": 2.46, ""shares_border_with"": [""CO-COR-Chinu"", ""CO-SUC-LaUnion"", ""CO-SUC-SanBenitoAbad"", ""CO-SUC-SanMarcos""], ""sys_housenumbering"": ""street-metric""}"
1324926,170,70230,Chalán,SUC,,,chalan,CO-SUC-Chalan,,"{""area_sr"": 0.00699, ""area_km2"": 85, ""boundary"": ""administrative"", ""objectid"": 4176, ""DANE:area"": 80.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 9.2, ""side_estim_deg"": 0.0836, ""DANE:departamento"": 70, ""elongation_factor"": 2.09, ""shares_border_with"": [""CO-BOL-ElCarmenBolivar"", ""CO-SUC-Coloso"", ""CO-SUC-Ovejas""], ""sys_housenumbering"": ""street-metric""}"
1324936,170,70204,Colosó,SUC,,1576957,coloso,CO-SUC-Coloso,,"{""area_sr"": 0.01047, ""area_km2"": 127, ""boundary"": ""administrative"", ""objectid"": 4175, ""DANE:area"": 127.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 11.3, ""side_estim_deg"": 0.1023, ""DANE:departamento"": 70, ""elongation_factor"": 2.51, ""shares_border_with"": [""CO-SUC-Chalan"", ""CO-SUC-LosPalmitos"", ""CO-SUC-Morroa"", ""CO-SUC-Ovejas"", ""CO-SUC-SanOnofre"", ""CO-SUC-Toluviejo""], ""sys_housenumbering"": ""street-metric""}"
1324917,170,70215,Corozal,SUC,,,corozal,CO-SUC-Corozal,,"{""area_sr"": 0.0225, ""area_km2"": 273, ""boundary"": ""administrative"", ""objectid"": 4180, ""DANE:area"": 272.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 16.5, ""side_estim_deg"": 0.15, ""DANE:departamento"": 70, ""elongation_factor"": 3.15, ""shares_border_with"": [""CO-SUC-ElRoble"", ""CO-SUC-LosPalmitos"", ""CO-SUC-Morroa"", ""CO-SUC-Sampues"", ""CO-SUC-SanJuanBetulia"", ""CO-SUC-Since"", ""CO-SUC-Sincelejo""], ""sys_housenumbering"": ""street-metric""}"
2460349,170,70221,Coveñas,SUC,,,covenas,CO-SUC-Covenas,,"{""area_sr"": 0.00404, ""area_km2"": 49, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 7, ""side_estim_deg"": 0.0635, ""elongation_factor"": 2.6, ""shares_border_with"": [""CO-COR-Purisima"", ""CO-COR-SanAntero"", ""CO-SUC-SanAntonioPalmito"", ""CO-SUC-Tolu""]}"
1324944,170,70233,"El Roble",SUC,,1577912,el.roble,CO-SUC-ElRoble,,"{""area_sr"": 0.01665, ""area_km2"": 202, ""boundary"": ""administrative"", ""objectid"": 4186, ""DANE:area"": 201.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 14.2, ""side_estim_deg"": 0.129, ""DANE:departamento"": 70, ""elongation_factor"": 3.22, ""shares_border_with"": [""CO-COR-Chinu"", ""CO-SUC-Corozal"", ""CO-SUC-Galeras"", ""CO-SUC-Sampues"", ""CO-SUC-SanBenitoAbad"", ""CO-SUC-Since""], ""sys_housenumbering"": ""street-metric""}"
1324919,170,70235,Galeras,SUC,,389099,galeras,CO-SUC-Galeras,,"{""area_sr"": 0.02479, ""area_km2"": 301, ""boundary"": ""administrative"", ""objectid"": 4185, ""DANE:area"": 304.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 17.4, ""side_estim_deg"": 0.1575, ""DANE:departamento"": 70, ""elongation_factor"": 1.79, ""shares_border_with"": [""CO-BOL-Magangue"", ""CO-SUC-Buenavista"", ""CO-SUC-ElRoble"", ""CO-SUC-SanBenitoAbad"", ""CO-SUC-Since""], ""sys_housenumbering"": ""street-metric""}"
1324953,170,70265,Guaranda,SUC,,,guaranda,CO-SUC-Guaranda,,"{""area_sr"": 0.02811, ""area_km2"": 342, ""boundary"": ""administrative"", ""objectid"": 4189, ""DANE:area"": 354.00, ""fat_deg_m"": 0.0000091, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 18.5, ""side_estim_deg"": 0.1677, ""DANE:departamento"": 70, ""elongation_factor"": 2.78, ""shares_border_with"": [""CO-BOL-Achi"", ""CO-BOL-SanJacintoCauca"", ""CO-COR-Ayapel"", ""CO-SUC-Majagual""], ""sys_housenumbering"": ""street-metric""}"
1350650,170,70400,"La Unión",SUC,,684303,la.union,CO-SUC-LaUnion,,"{""area_sr"": 0.01989, ""area_km2"": 242, ""boundary"": ""administrative"", ""objectid"": 4429, ""DANE:area"": 234.00, ""fat_deg_m"": 0.0000091, ""wikipedia"": ""es:La Unión (Sucre)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Sucre"", ""side_estim_km"": 15.6, ""side_estim_deg"": 0.141, ""DANE:departamento"": 70, ""elongation_factor"": 2.47, ""shares_border_with"": [""CO-COR-Chinu"", ""CO-COR-Sahagun"", ""CO-SUC-Caimito"", ""CO-SUC-SanMarcos""], ""sys_housenumbering"": ""street-metric""}"
