osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1342923,170,73024,Alpujarra,TOL,,748817,alpujarra,CO-TOL-Alpujarra,,"{""area_sr"": 0.04079, ""area_km2"": 501, ""boundary"": ""administrative"", ""objectid"": 3463, ""DANE:area"": 517.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Alpujarra (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 22.4, ""side_estim_deg"": 0.202, ""elongation_factor"": 1.58, ""shares_border_with"": [""CO-HUI-Baraya"", ""CO-HUI-Colombia"", ""CO-HUI-Villavieja"", ""CO-TOL-Dolores"", ""CO-TOL-Natagaima""], ""sys_housenumbering"": ""street-metric""}"
1308613,170,73026,Alvarado,TOL,,1575371,alvarado,CO-TOL-Alvarado,,"{""area_sr"": 0.02801, ""area_km2"": 344, ""boundary"": ""administrative"", ""objectid"": 4038, ""DANE:area"": 347.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Alvarado (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 18.5, ""side_estim_deg"": 0.1674, ""DANE:departamento"": 73, ""elongation_factor"": 2.17, ""shares_border_with"": [""CO-TOL-Anzoategui"", ""CO-TOL-Ibague"", ""CO-TOL-Piedras"", ""CO-TOL-Venadillo""], ""sys_housenumbering"": ""street-metric""}"
1309461,170,73030,Ambalema,TOL,,1574897,ambalema,CO-TOL-Ambalema,,"{""area_sr"": 0.01951, ""area_km2"": 239, ""boundary"": ""administrative"", ""objectid"": 4047, ""DANE:area"": 239.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Ambalema"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 15.5, ""side_estim_deg"": 0.1397, ""DANE:departamento"": 73, ""elongation_factor"": 2.31, ""shares_border_with"": [""CO-CUN-Beltran"", ""CO-CUN-SanJuanRioseco"", ""CO-TOL-Armero"", ""CO-TOL-Lerida"", ""CO-TOL-Venadillo""], ""sys_housenumbering"": ""street-metric""}"
1308621,170,73043,Anzoátegui,TOL,,1525611,anzoategui,CO-TOL-Anzoategui,,"{""area_sr"": 0.03829, ""area_km2"": 470, ""boundary"": ""administrative"", ""objectid"": 4035, ""DANE:area"": 475.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Anzoátegui (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 21.7, ""side_estim_deg"": 0.1957, ""DANE:departamento"": 73, ""elongation_factor"": 2.35, ""shares_border_with"": [""CO-QUI-Salento"", ""CO-TOL-Alvarado"", ""CO-TOL-Ibague"", ""CO-TOL-SantaIsabel"", ""CO-TOL-Venadillo""], ""sys_housenumbering"": ""street-metric""}"
1342109,170,73055,Armero,TOL,,584880,armero,CO-TOL-Armero,,"{""area_sr"": 0.03588, ""area_km2"": 440, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21, ""side_estim_deg"": 0.1894, ""elongation_factor"": 2.64, ""shares_border_with"": [""CO-CUN-Chaguani"", ""CO-CUN-Guaduas"", ""CO-CUN-SanJuanRioseco"", ""CO-TOL-Ambalema"", ""CO-TOL-Falan"", ""CO-TOL-Honda"", ""CO-TOL-Lerida"", ""CO-TOL-Libano"", ""CO-TOL-Mariquita"", ""CO-TOL-Villahermosa""]}"
4047308,170,73067,Ataco,TOL,,2430018,ataco,CO-TOL-Ataco,,"{""area_sr"": 0.08161, ""area_km2"": 1003, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.7, ""side_estim_deg"": 0.2857, ""elongation_factor"": 2.56, ""shares_border_with"": [""CO-HUI-Aipe"", ""CO-TOL-Chaparral"", ""CO-TOL-Coyaima"", ""CO-TOL-Natagaima"", ""CO-TOL-Planadas"", ""CO-TOL-Rioblanco""]}"
1342085,170,73124,Cajamarca,TOL,,1441115,cajamarca,CO-TOL-Cajamarca,,"{""area_sr"": 0.04199, ""area_km2"": 515, ""boundary"": ""administrative"", ""objectid"": 3457, ""DANE:area"": 520.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cajamarca (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2049, ""elongation_factor"": 1.71, ""shares_border_with"": [""CO-QUI-Calarca"", ""CO-QUI-Cordoba"", ""CO-QUI-Pijao"", ""CO-QUI-Salento"", ""CO-TOL-Ibague"", ""CO-TOL-Roncesvalles"", ""CO-TOL-Rovira""], ""sys_housenumbering"": ""street-metric""}"
4047171,170,73148,"Carmen de Apicala",TOL,,,carmen.apicala,CO-TOL-CarmenApicala,,"{""area_sr"": 0.01556, ""area_km2"": 191, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.8, ""side_estim_deg"": 0.1247, ""elongation_factor"": 1.78, ""shares_border_with"": [""CO-CUN-Ricaurte"", ""CO-TOL-Cunday"", ""CO-TOL-Melgar"", ""CO-TOL-Suarez""]}"
1309438,170,73152,Casabianca,TOL,,1576184,casabianca,CO-TOL-Casabianca,,"{""area_sr"": 0.01447, ""area_km2"": 177, ""boundary"": ""administrative"", ""objectid"": 4031, ""DANE:area"": 123.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""en:Casabianca, Tolima"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 13.3, ""side_estim_deg"": 0.1203, ""DANE:departamento"": 73, ""elongation_factor"": 3.56, ""shares_border_with"": [""CO-CAL-Villamaria"", ""CO-TOL-Falan"", ""CO-TOL-Fresno"", ""CO-TOL-Herveo"", ""CO-TOL-Palocabildo"", ""CO-TOL-Villahermosa""], ""sys_housenumbering"": ""street-metric""}"
1308619,170,73168,Chaparral,TOL,,1977885,chaparral,CO-TOL-Chaparral,,"{""area_sr"": 0.17115, ""area_km2"": 2102, ""boundary"": ""administrative"", ""objectid"": 4039, ""DANE:area"": 2229.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Chaparral (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 45.9, ""side_estim_deg"": 0.4137, ""DANE:departamento"": 73, ""elongation_factor"": 2, ""shares_border_with"": [""CO-TOL-Ataco"", ""CO-TOL-Coyaima"", ""CO-TOL-Ortega"", ""CO-TOL-Rioblanco"", ""CO-TOL-Roncesvalles"", ""CO-TOL-SanAntonio"", ""CO-VAC-Buga"", ""CO-VAC-Sevilla"", ""CO-VAC-Tulua""], ""sys_housenumbering"": ""street-metric""}"
1309464,170,73200,Coello,TOL,,1577445,coello,CO-TOL-Coello,,"{""area_sr"": 0.02783, ""area_km2"": 342, ""boundary"": ""administrative"", ""objectid"": 4046, ""DANE:area"": 349.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Coello (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 18.5, ""side_estim_deg"": 0.1668, ""DANE:departamento"": 73, ""elongation_factor"": 2.45, ""shares_border_with"": [""CO-CUN-Girardot"", ""CO-CUN-Guataqui"", ""CO-CUN-Narino"", ""CO-TOL-Espinal"", ""CO-TOL-Flandes"", ""CO-TOL-Ibague"", ""CO-TOL-Piedras"", ""CO-TOL-SanLuis""], ""sys_housenumbering"": ""street-metric""}"
1308615,170,73217,Coyaima,TOL,,583757,coyaima,CO-TOL-Coyaima,,"{""area_sr"": 0.05491, ""area_km2"": 674, ""boundary"": ""administrative"", ""objectid"": 4041, ""DANE:area"": 667.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Coyaima"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 26, ""side_estim_deg"": 0.2343, ""DANE:departamento"": 73, ""elongation_factor"": 2.11, ""shares_border_with"": [""CO-TOL-Ataco"", ""CO-TOL-Chaparral"", ""CO-TOL-Natagaima"", ""CO-TOL-Ortega"", ""CO-TOL-Prado"", ""CO-TOL-Purificacion"", ""CO-TOL-Saldana""], ""sys_housenumbering"": ""street-metric""}"
1309466,170,73226,Cunday,TOL,,577597,cunday,CO-TOL-Cunday,,"{""area_sr"": 0.04142, ""area_km2"": 509, ""boundary"": ""administrative"", ""objectid"": 4050, ""DANE:area"": 518.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cunday"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 22.6, ""side_estim_deg"": 0.2035, ""DANE:departamento"": 73, ""elongation_factor"": 2.1, ""shares_border_with"": [""CO-TOL-CarmenApicala"", ""CO-TOL-Icononzo"", ""CO-TOL-Melgar"", ""CO-TOL-Purificacion"", ""CO-TOL-Suarez"", ""CO-TOL-Villarrica""], ""sys_housenumbering"": ""street-metric""}"
1342921,170,73236,Dolores,TOL,,520486,dolores,CO-TOL-Dolores,,"{""area_sr"": 0.05341, ""area_km2"": 656, ""boundary"": ""administrative"", ""objectid"": 3464, ""DANE:area"": 672.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Dolores (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 25.6, ""side_estim_deg"": 0.2311, ""elongation_factor"": 3.14, ""shares_border_with"": [""CO-HUI-Colombia"", ""CO-TOL-Alpujarra"", ""CO-TOL-Natagaima"", ""CO-TOL-Prado"", ""CO-TOL-Villarrica""], ""sys_housenumbering"": ""street-metric""}"
1356337,170,73268,Espinal,TOL,,2298176,espinal,CO-TOL-Espinal,,"{""area_sr"": 0.01756, ""area_km2"": 216, ""boundary"": ""administrative"", ""objectid"": 4391, ""DANE:area"": 231.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Espinal (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 14.7, ""side_estim_deg"": 0.1325, ""DANE:departamento"": 73, ""elongation_factor"": 2.01, ""shares_border_with"": [""CO-TOL-Coello"", ""CO-TOL-Flandes"", ""CO-TOL-Guamo"", ""CO-TOL-SanLuis"", ""CO-TOL-Suarez""], ""sys_housenumbering"": ""street-metric""}"
1342091,170,73270,Falan,TOL,,1577895,falan,CO-TOL-Falan,,"{""area_sr"": 0.01518, ""area_km2"": 186, ""boundary"": ""administrative"", ""objectid"": 3453, ""DANE:area"": 188, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""en:Falan"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 13.6, ""side_estim_deg"": 0.1232, ""elongation_factor"": 2.28, ""shares_border_with"": [""CO-TOL-Armero"", ""CO-TOL-Casabianca"", ""CO-TOL-Fresno"", ""CO-TOL-Mariquita"", ""CO-TOL-Palocabildo"", ""CO-TOL-Villahermosa""], ""sys_housenumbering"": ""street-metric""}"
1309462,170,73275,Flandes,TOL,,764821,flandes,CO-TOL-Flandes,,"{""area_sr"": 0.00797, ""area_km2"": 98, ""boundary"": ""administrative"", ""objectid"": 4045, ""DANE:area"": 100.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Flandes (Tolima)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Tolima"", ""side_estim_km"": 9.9, ""side_estim_deg"": 0.0893, ""DANE:departamento"": 73, ""elongation_factor"": 1.91, ""shares_border_with"": [""CO-CUN-Girardot"", ""CO-CUN-Ricaurte"", ""CO-TOL-Coello"", ""CO-TOL-Espinal"", ""CO-TOL-Suarez""], ""sys_housenumbering"": ""street-metric""}"
