osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1460505,170,76020,Alcalá,VAC,,1526276,alcala,CO-VAC-Alcala,,"{""area_sr"": 0.00509, ""area_km2"": 62, ""boundary"": ""administrative"", ""objectid"": 3951, ""DANE:area"": 64.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Alcalá (Valle del Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 7.9, ""side_estim_deg"": 0.0713, ""DANE:departamento"": 76, ""elongation_factor"": 2.74, ""shares_border_with"": [""CO-QUI-Filandia"", ""CO-QUI-Quimbaya"", ""CO-VAC-Cartago"", ""CO-VAC-Ulloa""], ""sys_housenumbering"": ""street-metric""}"
1461001,170,76036,Andalucía,VAC,,1526216,andalucia,CO-VAC-Andalucia,,"{""area_sr"": 0.00859, ""area_km2"": 105, ""boundary"": ""administrative"", ""objectid"": 3962, ""DANE:area"": 162.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Andalucía (Valle del Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 10.3, ""side_estim_deg"": 0.0927, ""DANE:departamento"": 76, ""elongation_factor"": 2.3, ""shares_border_with"": [""CO-VAC-Bugalagrande"", ""CO-VAC-Riofrio"", ""CO-VAC-Trujillo"", ""CO-VAC-Tulua""], ""sys_housenumbering"": ""street-metric""}"
1461170,170,76041,Ansermanuevo,VAC,,1441179,ansermanuevo,CO-VAC-Ansermanuevo,,"{""area_sr"": 0.02417, ""area_km2"": 296, ""boundary"": ""administrative"", ""objectid"": 3947, ""DANE:area"": 361.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Ansermanuevo"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 17.2, ""side_estim_deg"": 0.1555, ""DANE:departamento"": 76, ""elongation_factor"": 2.02, ""shares_border_with"": [""CO-CHO-SanJosePalmar"", ""CO-RIS-Balboa"", ""CO-RIS-Pereira"", ""CO-VAC-Argelia"", ""CO-VAC-Cartago"", ""CO-VAC-ElAguila"", ""CO-VAC-ElCairo"", ""CO-VAC-Toro""], ""sys_housenumbering"": ""street-metric""}"
1461222,170,76054,Argelia,VAC,,2142901,argelia,CO-VAC-Argelia,,"{""area_sr"": 0.00822, ""area_km2"": 101, ""boundary"": ""administrative"", ""objectid"": 3949, ""DANE:area"": 88.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Argelia (Valle del Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 10, ""side_estim_deg"": 0.0906, ""DANE:departamento"": 76, ""elongation_factor"": 1.55, ""shares_border_with"": [""CO-VAC-Ansermanuevo"", ""CO-VAC-ElCairo"", ""CO-VAC-Toro"", ""CO-VAC-Versalles""], ""sys_housenumbering"": ""street-metric""}"
1461292,170,76100,Bolívar,VAC,,1880935,bolivar,CO-VAC-Bolivar,,"{""area_sr"": 0.05746, ""area_km2"": 705, ""boundary"": ""administrative"", ""objectid"": 3963, ""DANE:area"": 815.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bolívar (Valle del Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 26.6, ""side_estim_deg"": 0.2397, ""DANE:departamento"": 76, ""elongation_factor"": 2.11, ""shares_border_with"": [""CO-CHO-ElLitoralSanJuan"", ""CO-CHO-Sipi"", ""CO-VAC-Bugalagrande"", ""CO-VAC-ElDovio"", ""CO-VAC-Roldanillo"", ""CO-VAC-Trujillo"", ""CO-VAC-Zarzal""], ""sys_housenumbering"": ""street-metric""}"
1311768,170,76109,Buenaventura,VAC,,996581,buenaventura,CO-VAC-Buenaventura,,"{""area_sr"": 0.5075, ""area_km2"": 6235, ""boundary"": ""administrative"", ""objectid"": 3392, ""DANE:area"": 6785, ""fat_deg_m"": 0.0000090, ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 79, ""side_estim_deg"": 0.7124, ""elongation_factor"": 5.4, ""shares_border_with"": [""CO-CAU-Lopez"", ""CO-CHO-ElLitoralSanJuan"", ""CO-VAC-Cali"", ""CO-VAC-Calima"", ""CO-VAC-Dagua"", ""CO-VAC-Jamundi""], ""sys_housenumbering"": ""street-metric""}"
1461502,170,76111,Buga,VAC,,934753,buga,CO-VAC-Buga,,"{""area_sr"": 0.06748, ""area_km2"": 829, ""boundary"": ""administrative"", ""objectid"": 3968, ""DANE:area"": 873.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Buga"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 28.8, ""side_estim_deg"": 0.2598, ""DANE:departamento"": 76, ""elongation_factor"": 2.65, ""shares_border_with"": [""CO-TOL-Chaparral"", ""CO-TOL-Rioblanco"", ""CO-VAC-ElCerrito"", ""CO-VAC-Ginebra"", ""CO-VAC-Guacari"", ""CO-VAC-SanPedro"", ""CO-VAC-Tulua"", ""CO-VAC-Yotoco""], ""sys_housenumbering"": ""street-metric""}"
1462480,170,76113,Bugalagrande,VAC,,686202,bugalagrande,CO-VAC-Bugalagrande,,"{""area_sr"": 0.03327, ""area_km2"": 408, ""boundary"": ""administrative"", ""objectid"": 3961, ""DANE:area"": 429.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Bugalagrande"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 20.2, ""side_estim_deg"": 0.1824, ""DANE:departamento"": 76, ""elongation_factor"": 1.77, ""shares_border_with"": [""CO-VAC-Andalucia"", ""CO-VAC-Bolivar"", ""CO-VAC-Sevilla"", ""CO-VAC-Trujillo"", ""CO-VAC-Tulua"", ""CO-VAC-Zarzal""], ""sys_housenumbering"": ""street-metric""}"
1470279,170,76122,Caicedonia,VAC,,2430520,caicedonia,CO-VAC-Caicedonia,,"{""area_sr"": 0.01362, ""area_km2"": 167, ""boundary"": ""administrative"", ""objectid"": 3960, ""DANE:area"": 165.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Caicedonia"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 12.9, ""side_estim_deg"": 0.1167, ""DANE:departamento"": 76, ""elongation_factor"": 1.79, ""shares_border_with"": [""CO-QUI-Calarca"", ""CO-QUI-Genova"", ""CO-QUI-LaTebaida"", ""CO-QUI-Pijao"", ""CO-VAC-Sevilla""], ""sys_housenumbering"": ""street-metric""}"
1320707,170,76001,Cali,VAC,,51103,cali,CO-VAC-Cali,,"{""area_sr"": 0.0457, ""name:zh"": ""卡利"", ""area_km2"": 562, ""boundary"": ""administrative"", ""objectid"": 3980, ""DANE:area"": 552.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cali"", ""entidad_te"": ""CAP. DEPTO"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""official_name"": ""Santiago de Cali"", ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2138, ""DANE:departamento"": 76, ""elongation_factor"": 1.69, ""shares_border_with"": [""CO-CAU-PuertoTejada"", ""CO-VAC-Buenaventura"", ""CO-VAC-Candelaria"", ""CO-VAC-Dagua"", ""CO-VAC-Jamundi"", ""CO-VAC-Palmira"", ""CO-VAC-Yumbo""], ""sys_housenumbering"": ""street-metric""}"
1472569,170,76126,Calima,VAC,,1526288,calima,CO-VAC-Calima,,"{""area_sr"": 0.06557, ""alt_name"": ""El Darién"", ""area_km2"": 805, ""boundary"": ""administrative"", ""objectid"": 3969, ""DANE:area"": 930.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Darién (Valle del Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 28.4, ""side_estim_deg"": 0.2561, ""DANE:departamento"": 76, ""elongation_factor"": 2.02, ""shares_border_with"": [""CO-CHO-ElLitoralSanJuan"", ""CO-VAC-Buenaventura"", ""CO-VAC-Dagua"", ""CO-VAC-Restrepo"", ""CO-VAC-Riofrio"", ""CO-VAC-Yotoco""], ""sys_housenumbering"": ""street-metric""}"
1473641,170,76130,Candelaria,VAC,,2430763,candelaria,CO-VAC-Candelaria,,"{""area_sr"": 0.0238, ""area_km2"": 293, ""boundary"": ""administrative"", ""objectid"": 3977, ""DANE:area"": 303.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Candelaria (Valle del Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Valle del Cauca"", ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1543, ""DANE:departamento"": 76, ""elongation_factor"": 1.61, ""shares_border_with"": [""CO-CAU-Miranda"", ""CO-CAU-PuertoTejada"", ""CO-VAC-Cali"", ""CO-VAC-Florida"", ""CO-VAC-Palmira"", ""CO-VAC-Pradera""], ""sys_housenumbering"": ""street-metric""}"
