osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1303962,170,91,Amazonas,CO,AMA,44724,amazonas,CO-AMA,,"{""area_sr"": 8.84949, ""area_km2"": 108879, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 330, ""side_estim_deg"": 2.9748, ""elongation_factor"": 2.98, ""sys_housenumbering"": ""street-metric""}"
1315120,170,5,Antioquia,CO,ANT,123304,antioquia,CO-ANT,,"{""area_sr"": 5.16605, ""area_km2"": 63133, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 251.3, ""side_estim_deg"": 2.2729, ""elongation_factor"": 3.01, ""sys_housenumbering"": ""street-metric""}"
1388045,170,81,Arauca,CO,ARA,230223,arauca,CO-ARA,,"{""area_sr"": 1.9416, ""area_km2"": 23746, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 154.1, ""side_estim_deg"": 1.3934, ""elongation_factor"": 2.26, ""sys_housenumbering"": ""street-metric""}"
2181889,170,26855,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO,SAP,26855,"archipielago.san.andres,.providencia.y.santa.catalina",CO-SAP,,"{""area_sr"": 0.06089, ""area_km2"": 728, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 27, ""side_estim_deg"": 0.2468, ""elongation_factor"": 13, ""sys_housenumbering"": ""street-metric""}"
1315209,170,8,Atlántico,CO,ATL,230882,atlantico,CO-ATL,,"{""area_sr"": 0.27583, ""area_km2"": 3338, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 57.8, ""side_estim_deg"": 0.5252, ""elongation_factor"": 1.51, ""sys_housenumbering"": ""street-metric""}"
1316581,170,13,Bolívar,CO,BOL,230597,bolivar,CO-BOL,,"{""area_sr"": 2.19416, ""area_km2"": 26699, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 163.4, ""side_estim_deg"": 1.4813, ""elongation_factor"": 3.79, ""sys_housenumbering"": ""street-metric""}"
1390144,170,15,Boyacá,CO,BOY,121233,boyaca,CO-BOY,,"{""area_sr"": 1.897, ""area_km2"": 23234, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 152.4, ""side_estim_deg"": 1.3773, ""elongation_factor"": 3.84, ""sys_housenumbering"": ""street-metric""}"
396705,170,17,Caldas,CO,CAL,230607,caldas,CO-CAL,,"{""area_sr"": 0.60566, ""area_km2"": 7424, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 86.2, ""side_estim_deg"": 0.7782, ""elongation_factor"": 2.84, ""sys_housenumbering"": ""street-metric""}"
1394843,170,18,Caquetá,CO,CAQ,13985,caqueta,CO-CAQ,,"{""area_sr"": 7.31732, ""area_km2"": 90053, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 300.1, ""side_estim_deg"": 2.7051, ""elongation_factor"": 2.54, ""sys_housenumbering"": ""street-metric""}"
1392025,170,85,Casanare,CO,CAS,13984,casanare,CO-CAS,,"{""area_sr"": 3.60739, ""area_km2"": 44210, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 210.3, ""side_estim_deg"": 1.8993, ""elongation_factor"": 2.06, ""sys_housenumbering"": ""street-metric""}"
1392085,170,19,Cauca,CO,CAU,230602,cauca,CO-CAU,,"{""area_sr"": 2.52682, ""area_km2"": 31075, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 176.3, ""side_estim_deg"": 1.5896, ""elongation_factor"": 2.77, ""sys_housenumbering"": ""street-metric""}"
1317223,170,20,Cesar,CO,CES,234916,cesar,CO-CES,,"{""area_sr"": 1.86263, ""area_km2"": 22617, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 150.4, ""side_estim_deg"": 1.3648, ""elongation_factor"": 2.93, ""sys_housenumbering"": ""street-metric""}"
1322131,170,27,Chocó,CO,CHO,230584,choco,CO-CHO,,"{""area_sr"": 3.91667, ""area_km2"": 47950, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 219, ""side_estim_deg"": 1.9791, ""elongation_factor"": 3.42, ""sys_housenumbering"": ""street-metric""}"
1305533,170,25,Cundinamarca,CO,CUN,232564,cundinamarca,CO-CUN,,"{""area_sr"": 1.82157, ""area_km2"": 22344, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 149.5, ""side_estim_deg"": 1.3497, ""elongation_factor"": 3.09, ""sys_housenumbering"": ""street-metric""}"
